NAME,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
Jordyn Halvorson,2013,0.8,1.5,2.3,0.8,1.0,0.9,1.1,0.5,0.0
Kelsey Trulsrud,2013,2.5,6.1,8.6,1.7,1.2,2.7,0.4,1.7,0.0
Dalyce Emmerson,2013,3.3,5.9,9.2,2.4,2.3,3.3,0.7,1.0,1.5
Bailey Johnson,2013,0.2,0.6,0.8,0.2,0.2,0.9,0.2,0.1,0.1
Jenna Quinton,2013,0.9,0.9,1.7,1.5,0.6,1.1,0.5,1.0,0.3
Rae-Maryse Laljee,2013,0.5,0.8,1.3,0.7,0.1,0.9,0.2,0.3,0.1
Denise Spacek,2013,0.0,0.2,0.2,0.4,0.2,0.2,1.0,0.1,0.0
Sarah Malate,2013,0.0,0.5,0.5,0.7,0.3,0.8,0.4,0.3,0.1
Jorri Duxbury,2013,0.5,4.9,5.3,2.1,5.7,4.4,1.3,2.7,0.5
Jen Ju,2013,0.4,1.2,1.6,1.9,1.2,2.3,0.5,1.9,0.2
Tracy Kocs,2013,2.3,5.0,7.3,1.8,1.3,2.2,0.6,0.9,0.2
Taiysa Worsfold,2013,2.3,2.5,4.9,1.3,2.0,2.8,0.7,1.8,0.2
Megan Sherwood,2013,0.5,1.5,1.9,1.1,0.5,0.6,0.8,0.3,0.1
Diane Schuetze,2013,3.7,7.5,11.3,3.0,2.2,2.8,0.8,0.8,1.5
Rebeca Fernandez,2013,1.0,1.3,2.3,1.9,0.3,1.1,0.3,0.1,0.1
Dana Clarkson,2013,1.5,5.0,6.5,1.0,1.0,0.0,0.0,0.5,0.0
Jamie Andrews Stobart,2013,0.3,0.3,0.6,0.3,0.2,0.6,0.3,0.0,0.0
Emily Knauff,2013,1.6,3.7,5.3,3.2,2.3,3.0,0.8,1.9,0.1
Chantelle Martin,2013,0.5,1.6,2.1,1.7,0.7,1.2,0.6,0.7,0.0
Stephanie Carkner,2013,0.2,2.0,2.2,1.8,2.3,1.5,1.5,2.4,0.0
Natalie Carkner,2013,0.3,0.1,0.4,0.1,0.4,0.0,0.0,0.9,0.0
Luca Schmidt,2013,0.2,0.6,0.8,0.6,0.5,0.5,0.9,0.5,0.0
Chelsey Olsen,2013,1.9,2.1,4.0,2.1,0.5,1.9,0.2,1.2,0.2
Laurissa Weigl,2013,1.7,1.7,3.4,1.1,0.6,1.3,0.5,0.9,0.1
Janelle Traber,2013,1.4,2.6,4.0,2.3,1.1,1.8,0.6,0.6,0.2
Holly Strom,2013,2.4,5.5,8.0,3.3,2.0,2.7,0.8,2.6,1.8
Kristen Ford,2013,0.3,0.3,0.7,0.3,0.1,0.8,0.1,0.3,0.1
Katelyn Star,2013,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Maddie Lougheed,2013,0.5,0.5,1.0,0.6,0.1,0.3,0.3,0.2,0.5
Sarah Cleveland,2013,0.4,2.4,2.8,1.4,1.5,2.8,0.5,1.4,0.2
Cassandra Knievel,2013,0.2,1.8,2.0,2.1,2.3,2.2,1.1,1.1,0.1
Victoria Spangehl,2013,2.9,4.5,7.4,1.6,1.0,1.8,0.5,0.8,0.9
Cherub Lum,2013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Maggie Sundberg,2013,0.5,1.4,1.9,0.9,1.6,1.6,1.0,0.8,0.1
Kris Young,2013,2.1,5.4,7.5,2.4,3.5,2.8,1.3,2.5,0.3
Stephanie Bell,2013,1.0,1.2,2.3,1.2,0.7,1.3,0.6,0.5,0.2
Alyssa Binns,2013,0.2,1.9,2.1,1.2,1.1,1.0,1.1,0.9,0.0
Adrienne Parkin,2013,1.6,3.4,5.0,1.7,1.5,2.2,0.7,0.6,0.8
Erika Vieweg,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime Hills,2013,0.2,0.8,1.1,0.9,0.4,0.9,0.4,0.4,0.0
Andrea Strujic,2013,0.2,0.6,0.8,0.6,0.1,0.3,0.2,0.2,0.1
Zana Williams,2013,0.3,1.0,1.3,1.4,1.2,1.0,1.2,0.8,0.2
Susan Thompson,2013,0.1,0.1,0.3,0.2,0.4,0.4,1.0,0.1,0.1
Leigh Stansfield,2013,2.1,3.2,5.4,2.2,0.8,1.8,0.4,1.0,0.9
Melissa Irish,2013,0.6,1.5,2.1,1.5,1.1,2.0,0.5,0.7,0.0
Emily Kanester,2013,0.8,4.1,4.9,2.7,1.2,2.7,0.4,1.7,0.1
Jessica Jazdarehee,2013,1.3,1.5,2.8,1.4,0.5,1.5,0.3,0.5,0.0
Laura Gini,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krystal Schouten,2013,1.3,2.1,3.4,2.8,1.1,1.9,0.6,0.6,0.3
Roslyn Huber,2013,2.6,3.2,5.8,3.0,1.2,3.5,0.3,1.2,0.5
Kayla Mcfadden,2013,0.6,1.3,1.8,1.4,0.1,0.9,0.1,0.5,0.3
Madison Kaneda,2013,1.7,4.5,6.2,2.2,2.0,3.2,0.6,1.7,0.1
Whitney Hamilton,2013,0.3,0.6,0.9,0.1,0.1,0.3,0.4,0.3,0.1
Sarah Allison,2013,0.5,1.2,1.7,2.0,1.5,3.5,0.4,1.0,0.1
Tia Sadler,2013,0.3,0.7,1.1,0.7,0.2,0.9,0.2,0.4,0.0
Angela White,2013,1.0,2.9,3.9,2.5,1.3,3.1,0.4,1.9,0.3
Jaslyen Singh,2013,0.3,0.5,0.8,0.9,0.5,0.8,0.5,0.2,0.0
Jessica Collins,2013,0.4,0.3,0.7,0.1,0.9,1.0,0.9,0.3,0.3
Aieisha Luyken,2013,0.6,2.9,3.5,2.0,4.5,2.4,1.9,2.4,0.1
Courtney Bartel,2013,1.5,3.3,4.8,2.0,2.0,2.5,0.8,1.5,0.2
Sarah Wierks,2013,4.2,5.3,9.5,3.0,0.8,2.4,0.3,1.7,1.0
Kayli Sartori,2013,1.1,3.9,5.0,3.2,1.6,2.1,0.7,2.2,0.3
Shayna Litman,2013,0.4,1.2,1.6,1.7,0.0,0.7,0.0,0.3,0.1
Tessa Hart,2013,0.3,0.8,1.1,0.8,1.0,1.0,1.0,0.5,0.0
Nicole Wierks,2013,1.8,3.6,5.4,2.1,2.3,2.3,1.0,1.9,0.4
Celeste Dyck,2013,0.5,1.4,1.8,0.8,0.9,1.4,0.7,0.8,0.0
Kaitlyn Brink,2013,1.0,1.4,2.4,1.8,0.5,1.4,0.4,0.5,0.1
Alexa McCarthy,2013,0.2,0.7,0.9,1.3,2.5,1.0,2.5,0.7,0.2
Samantha Kurath,2013,0.6,1.0,1.6,1.3,0.1,0.7,0.2,0.2,0.1
Jordyn Rabbitt,2013,0.9,3.5,4.4,1.9,2.0,2.2,0.9,1.5,0.1
Allison Seinen,2013,0.3,0.5,0.8,0.1,0.0,0.4,0.0,0.1,0.0
Lauren Lamont,2013,0.1,0.7,0.8,0.5,0.1,0.4,0.2,0.1,0.0
Kady Dandeneau,2013,0.4,3.5,4.0,2.6,1.6,3.2,0.5,1.2,0.0
Mercedes VanKoughnett,2013,1.5,6.0,7.5,2.5,3.5,4.8,0.7,2.9,0.5
Sarah Robin,2013,2.0,2.4,4.4,2.0,1.1,2.8,0.4,0.8,0.1
Jennifer Bruce,2013,0.4,2.1,2.5,1.7,1.6,3.5,0.5,1.4,0.0
Kellie Fluit,2013,0.5,1.7,2.2,1.9,0.3,1.4,0.2,0.4,0.1
Emily Kaehn,2013,2.7,4.0,6.7,2.4,1.8,2.4,0.8,1.4,0.1
Jasprit Nijjar,2013,0.5,1.6,2.1,0.9,0.1,1.4,0.1,0.1,0.2
Jenny Lewis,2013,0.4,0.8,1.2,1.0,0.5,0.9,0.6,0.2,0.0
Cassandra Goodis,2013,0.8,4.7,5.5,2.2,6.3,2.9,2.2,2.5,0.1
Debbie Yeboah,2013,1.6,4.2,5.8,1.9,3.1,2.4,1.3,2.2,0.1
Jessica Renfrew,2013,0.9,2.5,3.4,0.8,1.2,1.8,0.7,1.1,0.3
Jenna Krug,2013,0.0,0.1,0.1,0.4,0.2,0.3,0.7,0.2,0.0
Shaylyn Crisp,2013,0.7,2.0,2.6,1.2,1.4,0.6,2.5,0.8,0.0
Ashley McGinnis,2013,0.0,0.4,0.4,0.2,0.2,0.4,0.5,0.0,0.0
Allison Mulock,2013,0.9,0.9,1.8,1.1,0.4,0.6,0.6,0.3,0.0
Jordyn Newman,2013,0.4,0.6,1.0,0.2,0.4,0.7,0.6,0.5,0.1
Tessla Rennie,2013,1.9,3.0,4.9,2.8,0.4,0.9,0.4,1.1,0.2
Nicole Karstein,2013,1.2,1.4,2.6,1.1,0.1,0.6,0.3,0.4,0.1
Jenna Bugiardini,2013,2.1,1.9,4.0,1.5,1.2,1.2,1.0,0.7,0.3
Kristen Monasterski,2013,0.5,1.5,2.0,2.0,0.2,1.5,0.1,0.3,0.5
Chelsea McMullen,2013,2.5,2.2,4.8,3.5,0.9,2.0,0.5,1.1,0.1
Lauren Anderson,2013,1.5,2.5,4.0,1.3,1.4,2.1,0.6,0.7,0.6
Kelsey Solarchuk,2013,0.5,0.9,1.4,0.4,0.4,0.5,0.8,0.2,0.0
Stephanie Kleysen,2013,2.9,4.5,7.5,2.9,1.9,2.2,0.9,1.9,0.6
Yael Kaplan,2013,1.6,1.5,3.1,2.5,1.8,2.2,0.8,1.5,0.1
Katie Waring,2013,0.2,1.5,1.6,1.0,1.8,1.4,1.3,0.8,0.0
Megan Noonan,2013,0.7,1.4,2.1,1.8,1.5,1.2,1.3,1.0,0.1
Kerri Kuzbyt,2013,0.3,2.2,2.5,1.8,2.1,2.0,1.1,1.1,0.0
Tia Coulter,2013,2.2,3.4,5.6,2.6,1.4,2.2,0.6,0.5,0.2
Alyssa Grant,2013,0.7,2.3,3.0,1.0,0.9,1.5,0.6,0.4,0.2
Danielle Baril,2013,0.5,0.8,1.3,1.1,0.6,0.7,0.9,0.5,0.0
Taylor Thorkelsson,2013,0.9,0.6,1.5,0.7,0.3,0.3,1.0,0.1,0.0
Alex Warburton,2013,1.3,2.0,3.3,1.4,0.7,1.1,0.6,0.1,0.2
Rita Lelia Sibo,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maya Macatumpag,2014,0.9,2.1,3.1,2.1,2.5,3.2,0.8,1.8,0.1
Chika Chiekwe,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keesha Peterson,2014,0.3,0.1,0.4,0.7,0.2,0.9,0.2,0.1,0.1
Chanel Smith,2014,0.3,1.4,1.6,0.3,0.7,0.9,0.7,0.8,0.0
Katie Ross,2014,0.6,1.8,2.4,0.3,0.9,1.6,0.6,1.1,0.1
Kristy Moore,2014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Miriam Franchetto,2014,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Abbey Duinker,2014,1.8,7.2,8.9,2.6,1.6,3.0,0.5,0.9,1.4
Emily MacLeod,2014,0.8,3.9,4.7,0.7,2.1,2.3,0.9,1.1,0.4
Rachel Savage,2014,0.6,1.1,1.6,1.1,1.1,1.1,1.1,0.6,0.2
Alexandra Berry,2014,3.2,3.0,6.2,3.6,0.5,2.1,0.3,0.5,0.7
Jenalle Vanhie,2014,0.8,1.4,2.3,0.5,0.7,1.0,0.7,0.3,0.3
Aprille Deus,2014,0.2,0.9,1.1,1.4,2.4,2.0,1.2,1.1,0.0
Tamara Dondi,2014,0.8,0.5,1.4,0.6,0.1,0.7,0.1,0.5,0.0
Maire Burke,2014,1.8,2.8,4.5,1.0,0.3,0.7,0.4,0.5,0.3
Tanira McClurkin,2014,0.7,2.4,3.0,1.4,3.5,3.8,0.9,1.7,0.1
Rasheeka Gunn,2014,1.7,2.9,4.6,2.6,2.0,1.8,1.1,1.3,0.3
Colleen Keane,2014,2.3,5.2,7.4,2.8,1.6,3.5,0.4,1.6,0.2
Keishia Lespoir,2014,0.9,1.9,2.8,3.4,2.1,1.8,1.2,1.7,0.0
Valentina Primossi,2014,0.5,1.4,1.9,1.1,1.4,1.4,1.0,0.7,0.1
Natasha Roach,2014,0.6,0.9,1.5,1.2,0.6,0.9,0.6,0.5,0.0
Jalynn Skeir,2014,0.3,0.9,1.1,1.9,1.7,1.4,1.2,0.5,0.1
Alison Keough,2014,2.6,7.2,9.8,2.1,2.1,3.4,0.6,1.4,1.1
Kayla Gardner,2014,0.7,1.8,2.5,1.6,0.2,1.5,0.2,0.2,0.2
Samantha Minicucci,2014,0.7,0.7,1.4,1.1,0.4,0.5,0.8,0.2,0.0
Yasmine Taylor,2014,0.2,0.6,0.8,0.6,0.0,0.3,0.0,0.2,0.0
Hollie MacDonald,2014,0.3,0.2,0.5,0.4,0.2,0.6,0.3,0.1,0.0
Christina Brown,2014,0.1,0.1,0.2,0.2,0.0,0.2,0.0,0.0,0.0
Courtney Thompson,2014,0.5,2.9,3.4,2.7,3.6,4.2,0.9,1.5,0.1
Korenda Colley,2014,1.5,1.8,3.3,2.3,1.3,1.5,0.9,0.8,0.1
Carissa Poulin,2014,0.1,0.2,0.3,0.0,0.1,0.1,1.0,0.1,0.0
Rebecca Nuttall,2014,2.5,3.7,6.2,2.3,2.4,2.1,1.1,1.7,0.1
Robbi Daley,2014,0.7,2.4,3.0,1.4,1.9,1.9,1.0,0.8,0.1
Tessa Stammberger,2014,3.0,5.2,8.3,2.7,3.3,2.8,1.2,1.4,0.3
Ainsley MacIntyre,2014,1.7,4.9,6.6,2.1,1.0,1.9,0.5,0.6,0.5
Shaylyn Field,2014,0.6,2.5,3.0,1.7,1.4,1.3,1.1,1.6,0.1
Olamide Ojuawo,2014,0.3,0.0,0.3,0.7,0.0,0.3,0.0,0.0,0.0
Melissa Ellis,2014,0.7,1.4,2.1,1.2,0.1,0.9,0.1,0.3,0.1
Shannon Forbes,2014,0.3,0.7,0.9,1.0,0.1,0.6,0.2,0.0,0.1
Kelia Pond,2014,0.2,2.2,2.4,1.3,2.5,2.6,0.9,0.5,0.1
Megan Robinson,2014,0.6,2.7,3.3,0.8,2.3,1.5,1.5,1.4,0.1
Rebecca Amo-Mensah,2014,0.8,1.1,1.9,0.8,1.3,0.9,1.4,0.2,0.0
Carolyn Adams,2014,0.3,0.5,0.8,0.5,0.6,1.1,0.6,0.3,0.0
Marika Vanden Elzen,2014,1.9,3.2,5.2,2.9,1.8,1.4,1.2,0.5,0.5
Chante Clarke,2014,1.6,2.2,3.8,1.9,1.3,3.0,0.4,1.1,0.2
Katherine Vanden Elzen,2014,0.0,1.0,1.0,0.6,0.1,0.1,1.0,0.0,0.0
Sydney Stewart,2014,1.1,3.0,4.1,1.8,0.9,2.0,0.5,1.4,0.1
Sandra Amoah,2014,2.0,6.5,8.5,2.5,1.3,2.4,0.5,1.4,0.3
Lindsay taylor,2014,0.7,1.1,1.8,0.6,0.8,0.9,0.8,0.6,0.1
Brianna MacKeigan,2014,0.2,0.1,0.3,0.0,0.1,0.1,1.0,0.2,0.0
Brooklyn Wright,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sydney Ezekiel,2014,0.5,1.9,2.4,1.5,1.3,2.2,0.6,1.6,0.1
Erica Gillis,2014,0.1,0.3,0.4,0.3,0.2,0.5,0.3,0.1,0.0
Molly Dawson,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandra Smye,2014,0.6,1.0,1.6,0.7,1.1,1.4,0.8,0.6,0.1
Justine Colley,2014,2.0,5.3,7.3,2.1,5.7,2.0,2.8,3.8,0.8
Angelina Carvery,2014,1.1,2.6,3.8,0.8,2.7,2.0,1.3,1.1,0.5
Katrina Murrell,2014,1.4,3.5,4.8,1.9,0.3,1.4,0.2,0.7,0.3
Rachelle Coward,2014,1.8,3.6,5.4,1.6,1.5,1.1,1.4,0.9,0.8
Carlie Nugent,2014,0.4,1.6,1.9,0.9,0.3,0.8,0.4,0.2,0.3
Batoul Kababji,2014,0.1,0.4,0.5,0.5,0.0,0.0,0.0,0.1,0.0
Jessica Sundblad,2014,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.1,0.0
Laura Langille,2014,2.5,5.7,8.2,2.3,1.3,1.4,0.9,0.6,0.8
Emily Jameson,2014,0.4,2.2,2.6,2.0,1.6,1.6,1.0,0.9,0.0
Becky Nash,2014,0.6,2.3,2.9,2.2,0.2,0.6,0.3,0.1,0.8
Courtney Kilyk,2014,0.1,0.3,0.5,0.8,0.6,1.0,0.6,0.3,0.1
Nisia Minicocci,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebecca Sheehan,2014,1.5,2.5,4.0,2.7,3.6,1.6,2.3,3.5,0.2
Melissa Gottschall,2014,0.1,0.9,1.1,1.0,1.3,1.9,0.6,1.1,0.0
Vanessa Pickard,2014,0.3,2.7,3.0,3.3,3.5,2.4,1.4,2.1,0.6
Megan Thompson,2014,0.1,0.1,0.2,0.3,0.1,0.2,0.5,0.1,0.0
Lindsay Lessard,2014,1.4,4.0,5.5,1.8,1.6,2.0,0.8,1.2,0.2
Kayla MacIntyre,2014,0.1,0.2,0.3,0.3,0.2,0.2,1.0,0.0,0.0
Mairead Dunn,2014,0.0,0.2,0.2,0.8,0.1,0.2,0.5,0.0,0.3
Kolbi Roper,2014,2.4,4.0,6.5,3.0,0.7,3.0,0.2,1.1,0.3
Kimberley Taylor,2014,1.8,1.8,3.5,2.4,0.3,1.1,0.3,0.3,0.3
Shannon Hatch,2014,0.6,1.1,1.7,0.5,0.4,0.5,0.7,0.6,0.3
Lia St. Pierre,2014,1.7,8.3,9.9,2.5,4.9,3.8,1.3,2.5,0.6
Alana Lawn,2014,0.0,1.3,1.3,1.0,1.8,2.3,0.8,0.5,0.3
Colleen Daley,2014,0.0,1.4,1.4,0.8,1.3,0.9,1.4,0.6,0.1
Karlen Majcher,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awo Farah,2014,2.0,5.3,7.3,2.5,3.2,4.3,0.7,1.4,0.1
Caroline Healy,2014,0.1,0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.0
Laura Kaye,2014,0.6,1.3,1.8,1.1,1.1,2.0,0.5,0.6,0.1
Laura Bamford-Cleland,2014,0.5,1.6,2.2,1.5,0.3,0.6,0.4,0.4,0.1
Laura Fox,2014,0.9,1.3,2.2,1.1,0.4,0.9,0.4,0.5,0.2
Tilley Ettinger,2014,1.3,2.7,4.1,2.5,2.7,3.4,0.8,0.7,0.0
Chelsey Collette,2014,0.5,1.0,1.5,1.3,0.5,1.2,0.4,0.2,0.0
Annika McConachy,2014,0.2,0.3,0.5,0.3,0.1,0.2,0.5,0.1,0.0
Grace Wade,2014,0.3,1.8,2.1,1.3,1.8,3.6,0.5,0.9,0.0
Claire Colborne,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah Currie,2014,0.4,2.1,2.5,1.4,0.6,1.3,0.5,0.4,0.3
Rachel Cleary,2014,2.1,4.1,6.2,2.5,1.0,1.6,0.6,0.7,0.3
Katelyn Mangold,2014,2.3,5.8,8.1,2.9,1.3,2.1,0.6,0.5,1.6
Candace Smith,2014,0.2,0.9,1.1,1.7,0.7,0.8,0.9,0.7,0.0
Katelynn Donahoe,2014,0.7,1.9,2.6,2.3,2.3,1.8,1.3,1.3,0.3
Terrilyn Herrick,2014,1.0,1.6,2.6,0.9,0.4,0.6,0.6,0.3,0.1
Jane MacLaughlin,2014,0.5,1.7,2.3,0.8,0.6,0.8,0.7,0.2,0.2
Holly Jones,2014,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Jenna Jones,2014,0.9,1.3,2.3,1.3,0.5,1.3,0.4,1.0,0.2
Amy Gough,2014,1.4,5.2,6.5,2.8,2.5,3.0,0.9,2.2,0.5
Nakita Newman,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julie Hatcher,2014,0.3,1.4,1.6,1.8,1.1,1.6,0.7,0.6,0.2
Kiera Rigby,2014,1.7,2.4,4.1,1.5,0.8,2.2,0.3,0.7,0.4
Danielle MacDonald,2014,0.8,2.6,3.4,1.2,2.0,2.4,0.9,1.1,0.1
Darcy Zinck,2014,0.7,1.9,2.5,0.7,1.9,1.7,1.1,0.7,0.1
Laura Power,2014,1.0,2.7,3.7,1.4,1.1,2.2,0.5,0.7,0.3
Jessica Patenaude,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamara Tompkins,2014,1.4,0.8,2.3,2.1,0.5,1.1,0.5,0.7,0.1
Elysia Drost,2014,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Glendeira Smith,2014,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.0
Edith Noblecilla var,2014,1.0,4.9,5.9,1.1,3.8,4.5,0.8,3.1,0.0
Catherine Rondeau,2014,0.6,2.8,3.5,1.0,1.8,5.0,0.4,1.8,0.2
Valerie Tremblay,2014,0.4,0.5,0.9,1.3,0.7,2.7,0.3,0.1,0.0
Marie-Pascale Duhame,2014,0.5,0.5,1.0,2.3,1.0,2.0,0.5,0.8,0.0
Naomie Zitt-James,2014,0.6,1.5,2.1,1.2,1.1,2.9,0.4,1.1,0.0
Marie-Michele Paquin,2014,0.1,1.3,1.4,0.7,0.4,2.2,0.2,0.3,0.1
Jenae Grayer,2014,0.9,2.6,3.5,3.3,0.6,3.8,0.2,1.0,0.1
Kayla Prete,2014,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Danielle Lumley,2014,1.2,4.3,5.4,3.6,0.8,2.9,0.3,1.3,0.4
Charlotte Jorunn Matthiessen,2014,0.3,1.4,1.6,1.1,0.6,1.6,0.4,0.5,0.0
Mara Lis Marchizotti,2014,0.9,3.4,4.3,3.8,0.4,3.2,0.1,0.6,1.1
Genevive Onyeka,2014,1.4,1.9,3.4,1.9,0.2,2.6,0.1,0.7,0.2
Ashley White,2014,0.6,1.4,2.0,0.8,0.1,0.9,0.1,0.2,0.0
Kaylah Barrett,2014,2.0,1.9,3.9,2.1,1.7,2.1,0.8,3.5,0.6
Cynthia Suissa,2014,0.5,0.5,1.0,1.0,1.0,0.8,1.3,0.3,0.0
Tamara Pinard-Devos,2014,0.5,2.4,2.9,1.3,1.5,1.4,1.1,1.1,0.0
Daphné Thouin,2014,0.7,0.3,0.9,0.5,0.4,0.4,1.0,0.2,0.0
Marilyse Roy-Viau,2014,1.4,4.0,5.4,2.3,2.1,3.5,0.6,2.5,0.3
Ashley Clarke,2014,1.1,1.7,2.8,2.2,2.1,1.7,1.2,1.6,0.2
Serginha Estimé,2014,2.7,4.0,6.7,2.4,0.3,1.5,0.2,1.8,0.2
Richelle Gregoire,2014,1.3,2.2,3.5,1.8,0.9,1.7,0.5,1.0,0.2
Shannah Ernest,2014,0.5,0.6,1.1,0.6,0.3,0.5,0.6,0.1,0.0
Alex Boudreau,2014,0.4,1.3,1.7,1.4,0.6,1.5,0.4,1.1,0.0
Tina Mpondani,2014,1.8,2.6,4.4,2.3,0.1,0.9,0.1,0.8,0.5
Alex Tessier,2014,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Genevieve Derome,2014,0.9,1.9,2.9,1.4,0.6,1.6,0.4,1.1,0.6
Catherine Belanger-P,2014,0.0,0.5,0.5,2.5,0.0,0.5,0.0,0.0,0.5
Raphaelle Cote,2014,1.1,2.6,3.8,2.2,1.4,3.4,0.4,1.2,0.2
Veronique Fortin-T.,2014,0.5,0.9,1.5,0.8,0.4,1.0,0.4,0.2,0.0
Jennica Laberge,2014,0.5,0.5,1.0,0.5,0.8,1.1,0.7,0.3,0.0
Jannie Jacques,2014,0.9,1.6,2.5,1.2,1.6,2.7,0.6,1.3,0.1
Justine Guay-Bilod.,2014,0.4,3.0,3.4,2.4,0.6,2.0,0.3,0.8,0.1
Gabrielle Girard,2014,1.2,4.9,6.1,3.0,2.0,4.1,0.5,1.9,0.0
Marilyn Bariault,2014,0.4,1.4,1.8,0.4,0.4,0.9,0.4,0.6,0.1
Rosemarie Rinfret-P.,2014,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0
Rachel Blouin-Brochu,2014,0.3,0.9,1.3,0.9,0.7,1.3,0.5,0.8,0.4
Marie-Pascale Nadeau,2014,2.0,3.4,5.4,2.3,1.0,2.8,0.4,1.4,1.2
Josianne L-Jalbert,2014,0.3,0.5,0.8,1.1,0.2,0.9,0.3,0.0,0.2
Lisa Lefevre,2014,0.4,0.7,1.1,1.5,1.3,2.1,0.6,0.6,0.0
Cyrielle Bouvier,2014,0.0,1.5,1.5,0.0,0.0,0.5,0.0,0.0,0.0
Dianna Ros,2014,0.4,1.4,1.8,1.0,3.1,2.7,1.1,1.7,0.2
Carolann Cloutier,2014,0.1,2.0,2.1,0.8,1.9,2.6,0.7,0.8,0.0
Francoise Charest,2014,0.8,2.1,2.9,1.5,2.4,2.0,1.2,1.4,0.0
Elizabeth McIellan,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kizzy Clarke,2014,0.6,0.8,1.5,1.5,0.2,0.6,0.3,0.5,0.1
Roya Assadi,2014,0.2,1.1,1.3,0.7,0.6,1.1,0.5,0.2,0.0
Marie-Pier Bastrash,2014,0.4,0.8,1.2,1.5,1.2,1.7,0.7,0.8,0.1
Gabriela Hebert,2014,0.8,2.4,3.2,2.1,1.7,2.0,0.8,1.4,0.3
Jennifer Silver,2014,1.1,2.9,4.1,1.8,0.4,2.1,0.2,0.7,0.7
Mariam Sylla,2014,3.2,6.2,9.4,2.3,1.4,3.8,0.4,1.9,0.6
Helene Bibeau,2014,1.9,3.3,5.2,2.0,1.2,1.5,0.8,1.4,0.4
Valerie L'Ecuyer,2014,0.9,1.0,1.9,1.5,0.3,1.0,0.3,0.4,0.2
Tiye Traore,2014,0.3,0.8,1.1,1.1,0.1,0.4,0.3,0.3,0.5
Alex Kiss-Rusk,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudia Riel,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danielle Dimitrov,2014,0.2,0.5,0.7,0.6,1.5,1.6,1.0,0.3,0.0
Valerie Gauvin,2014,0.5,2.7,3.2,2.5,3.1,4.0,0.8,1.2,0.1
Marie-Claude Lavertu,2014,0.3,0.5,0.8,0.0,0.0,0.5,0.0,0.3,0.0
Sara Cabana,2014,0.2,0.6,0.9,1.1,0.1,0.7,0.2,0.1,0.0
Janice Quintos,2014,0.3,1.0,1.3,1.4,1.1,1.4,0.8,0.3,0.0
Queteline Celestin,2014,2.1,4.7,6.8,3.5,3.3,4.4,0.8,2.5,0.3
Lorna D.Simon,2014,0.5,0.9,1.3,1.3,0.4,1.7,0.2,0.7,0.1
Catherine Perigny,2014,0.3,0.0,0.3,0.5,0.0,0.5,0.0,0.3,0.0
Jessica Lubin,2014,3.4,5.4,8.7,2.6,1.2,3.1,0.4,1.1,2.5
Camille Michaud,2014,1.4,3.1,4.5,2.9,1.1,2.8,0.4,1.2,0.3
Aleksandra Kancheva,2014,1.1,2.4,3.4,1.9,1.2,1.8,0.7,1.2,0.4
Juliette Delaune,2014,1.1,1.6,2.7,1.8,1.0,1.8,0.6,1.6,0.1
Karissa Kajorinne,2014,0.9,4.3,5.1,1.7,1.6,3.7,0.4,1.0,0.2
Anna Stilin,2014,0.9,2.0,2.9,1.3,1.4,3.6,0.4,0.4,0.0
Courtney White,2014,1.1,2.8,3.9,2.0,0.3,3.4,0.1,0.7,0.2
