NAME,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
Hailey Milligan,2011,1.2,3.8,5.0,1.8,0.4,1.0,0.4,0.8,0.8
Caitlin Croley,2011,1.1,1.3,2.4,0.7,0.5,0.7,0.8,0.6,0.1
Nicole Rosenkranz,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Chiarot,2011,2.2,5.4,7.5,2.6,1.4,2.8,0.5,1.4,0.6
Stephanie Truelove,2011,0.9,1.7,2.6,2.0,3.0,2.9,1.0,1.4,0.1
Kim Cupid,2011,1.6,2.6,4.2,2.8,1.0,3.4,0.3,1.4,0.0
Kayte Chase,2011,0.7,1.2,1.8,2.3,0.8,2.2,0.4,2.2,0.0
Alexandra Roy,2011,0.0,0.2,0.2,0.2,0.2,0.8,0.3,0.0,0.0
Sarah Nolette,2011,1.3,1.3,2.7,2.5,0.0,2.0,0.0,0.7,0.0
Catherine Cloutier,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emilie Cyr,2011,0.8,0.7,1.5,1.8,1.5,2.5,0.6,0.5,0.0
Alex Naylor,2011,0.3,1.0,1.3,1.0,0.0,1.3,0.0,0.3,0.0
Kizzy Clarke,2011,1.3,3.1,4.4,2.5,1.2,2.0,0.6,1.3,0.5
Tatiana Hanlan,2011,0.5,0.5,1.0,2.2,0.8,1.7,0.4,0.9,0.0
Elizabeth Dent,2011,0.5,0.5,1.0,1.0,0.4,0.5,0.8,0.4,0.0
Stephanie DeBoer,2011,0.2,1.2,1.4,0.6,0.0,0.3,0.0,0.2,0.1
Hannah Sunley-Paisley,2011,4.7,6.8,11.5,2.8,1.5,3.1,0.5,1.6,1.9
