NAME,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
Jessica Gordon,2010,0.5,1.4,33.3,0.0,0.0,0.0,0.1,0.1,50.0,1.0
Kristy Chute,2010,1.2,3.3,37.5,0.0,0.0,0.0,0.8,1.2,66.7,3.3
Laura Mullins,2010,3.3,6.5,50.0,1.2,2.4,50.0,1.5,2.3,67.6,9.3
Bojana Kovacevic,2010,4.1,10.3,40.3,1.9,5.7,33.6,1.6,2.2,70.2,11.8
Nadia Qahwash,2010,3.5,10.7,32.2,0.8,2.5,30.6,2.9,4.3,66.3,10.5
Brittany Szockyj,2010,4.1,11.7,35.0,2.2,5.2,42.3,2.4,3.2,73.4,12.8
Kate Mowat,2010,2.5,7.5,32.7,0.9,2.9,31.0,2.0,3.0,65.6,7.8
Kara Smith,2010,0.8,3.2,24.6,0.5,2.1,25.6,0.2,0.2,75.0,2.3
Michelle McLaren,2010,0.2,1.2,15.4,0.1,0.5,20.0,0.0,0.0,0.0,0.5
Beth Hagarty,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emma Dillon,2010,1.7,5.6,30.1,0.0,0.1,0.0,1.3,2.3,58.0,4.7
Kayla Pangos,2010,1.9,7.5,25.0,1.1,3.8,28.9,1.2,1.5,79.4,6.0
April Hill,2010,1.0,3.2,31.7,0.7,1.9,37.8,0.6,0.7,85.7,3.4
Emily Perras,2010,2.0,6.9,29.2,0.8,1.9,43.6,0.4,0.6,69.2,5.2
Jenna Elliott,2010,1.3,3.6,35.4,0.0,0.2,25.0,1.9,2.6,71.9,4.5
Emily Bolduc,2010,4.2,9.9,42.2,1.4,3.3,40.9,2.4,3.1,74.6,12.1
Nicole Clarke,2010,3.8,11.2,34.1,0.6,2.9,21.9,3.6,4.1,88.9,11.9
Sarah Binns,2010,0.2,0.6,37.5,0.0,0.3,0.0,0.3,0.5,57.1,0.7
Josephine Peacock,2010,0.7,2.0,31.7,0.0,0.1,0.0,1.1,1.6,71.9,2.5
Megan Wickstrom,2010,0.6,2.2,29.0,0.1,0.9,15.4,0.6,0.7,90.0,2.1
Alexandra Keeley,2010,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendra Asleson,2010,1.9,4.0,45.7,0.1,0.1,50.0,1.6,1.9,81.6,5.3
Stacey Sperling,2010,0.2,1.0,16.7,0.2,0.7,25.0,0.8,1.3,62.5,1.3
Alysia Rissling,2010,1.2,3.0,39.3,0.0,0.0,0.0,0.6,1.7,32.4,3.0
Caitlin Stiksma,2010,1.6,3.8,41.3,0.0,0.0,0.0,1.4,2.9,50.0,4.5
Kaitlyn Arbuthnot,2010,1.9,5.5,34.2,0.1,0.6,16.7,1.2,1.7,70.6,5.1
Georgia Popovici,2010,3.2,7.2,44.8,0.9,2.8,33.9,1.3,1.8,72.2,8.7
Anneka Bakker,2010,3.4,7.2,46.9,0.5,1.5,33.3,1.4,1.6,90.6,8.8
Marisa Haylett,2010,4.6,10.2,44.9,1.0,3.0,32.8,3.8,4.6,81.5,13.9
Sarah Lopes,2010,1.8,5.3,33.0,0.1,1.1,13.6,1.1,1.8,63.9,4.8
