player_id,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
538,2011,1.5,4.3,34.8,0.0,0.2,0.0,0.6,1.2,45.0,3.6
539,2011,1.9,6.0,32.1,0.0,0.1,0.0,1.4,1.9,74.1,5.3
121,2011,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
540,2011,0.6,1.9,30.0,0.4,0.8,46.2,1.5,2.4,63.2,3.0
541,2011,0.4,1.2,33.3,0.1,0.2,33.3,0.9,0.9,92.9,1.7
542,2011,4.6,11.7,39.0,1.6,5.2,31.0,2.2,3.0,75.0,13.0
543,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,2011,0.2,0.4,50.0,0.1,0.3,33.3,0.1,0.2,50.0,0.6
545,2011,5.2,10.5,50.0,0.1,0.4,28.6,3.8,5.1,74.1,14.4
546,2011,1.9,4.9,39.2,0.3,0.5,71.4,0.7,0.9,78.6,4.9
547,2011,2.7,9.1,29.7,0.8,2.7,30.2,1.2,2.3,51.4,7.4
548,2011,2.2,6.4,34.4,0.4,2.1,17.2,1.1,1.4,80.0,5.9
549,2011,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,2011,3.8,7.5,50.0,0.0,0.1,0.0,1.2,2.1,55.9,8.7
551,2011,0.3,0.9,30.8,0.0,0.2,0.0,0.4,0.6,75.0,1.0
552,2011,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
553,2011,3.7,10.6,34.7,1.4,4.5,30.6,3.0,3.4,88.9,11.8
554,2011,6.2,11.4,54.1,0.1,0.2,25.0,3.1,4.8,64.9,15.6
555,2011,0.3,0.8,42.9,0.1,0.2,50.0,0.0,0.0,0.0,0.8
138,2011,3.3,9.1,35.9,0.7,2.5,28.6,2.1,2.5,82.9,9.4
137,2011,1.3,4.3,30.4,0.4,2.1,18.2,0.9,1.2,75.0,3.9
556,2011,2.2,5.0,43.8,0.8,1.6,52.0,0.6,0.8,75.0,5.8
557,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,2011,4.5,10.9,41.1,3.1,7.8,40.3,1.1,1.5,75.0,13.3
558,2011,0.1,0.6,20.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2
146,2011,2.8,7.5,36.7,0.6,2.2,28.6,1.2,1.6,76.9,7.4
559,2011,1.9,3.2,60.8,0.0,0.0,0.0,0.9,1.7,51.9,4.8
142,2011,0.7,1.2,56.3,0.3,0.4,80.0,0.4,0.5,83.3,2.1
560,2011,0.3,1.0,33.3,0.1,0.6,20.0,0.1,0.2,50.0,0.9
148,2011,5.2,14.4,36.4,0.8,3.2,25.5,2.5,2.9,85.1,13.8
561,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
