,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G,player_id
450,2012,0.7,1.5,2.2,0.9,0.5,0.9,0.5,0.5,0.3,450
451,2012,0.8,0.9,1.7,0.8,1.0,1.1,0.9,1.1,0.1,451
452,2012,0.1,0.4,0.5,0.8,2.8,1.3,2.2,2.1,0.1,452
453,2012,3.0,4.0,7.0,2.7,1.3,1.9,0.7,0.7,1.5,453
454,2012,2.3,3.5,5.8,2.1,1.9,2.5,0.8,2.3,0.8,454
455,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455
456,2012,0.7,2.4,3.1,2.5,0.6,3.3,0.2,1.2,0.1,456
457,2012,0.6,1.1,1.7,2.2,0.0,1.1,0.0,0.6,0.2,457
458,2012,0.7,2.1,2.8,1.9,2.9,5.4,0.5,1.1,0.0,458
459,2012,0.5,0.9,1.4,0.4,0.3,0.8,0.4,0.4,0.1,459
460,2012,2.1,2.7,4.8,3.3,0.6,2.4,0.2,0.4,0.2,460
461,2012,1.2,3.2,4.5,2.6,1.5,3.2,0.5,2.5,0.1,461
462,2012,1.1,3.9,4.9,2.7,1.8,3.2,0.6,2.0,0.1,462
463,2012,0.1,1.1,1.3,0.3,0.1,0.5,0.1,0.0,0.0,463
464,2012,0.8,0.9,1.7,0.4,0.5,1.3,0.4,0.3,0.0,464
465,2012,0.2,0.3,0.5,0.8,0.1,0.8,0.1,0.1,0.0,465
466,2012,0.6,0.8,1.4,1.3,0.3,1.2,0.3,0.2,0.2,466
467,2012,1.0,1.2,2.2,2.1,1.2,2.6,0.5,1.6,0.1,467
468,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468
469,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469
470,2012,0.1,0.4,0.6,1.1,0.9,0.6,1.5,1.0,0.0,470
471,2012,0.1,0.5,0.6,0.9,0.3,0.4,0.8,0.0,0.0,471
472,2012,0.9,2.2,3.2,3.1,3.4,3.1,1.1,1.9,0.1,472
473,2012,1.1,2.4,3.4,1.4,1.4,1.4,1.0,1.9,0.0,473
474,2012,3.7,6.2,9.8,2.8,0.6,2.2,0.3,1.1,0.4,474
475,2012,0.0,0.4,0.4,0.2,0.0,0.2,0.0,0.4,0.0,475
476,2012,1.4,3.2,4.6,2.9,0.7,1.8,0.4,1.0,0.2,476
477,2012,0.5,2.7,3.2,1.8,3.7,2.9,1.3,2.2,0.1,477
478,2012,2.8,3.1,5.9,2.6,1.4,2.7,0.5,2.1,0.1,478
479,2012,0.5,1.6,2.1,0.9,0.6,1.5,0.4,1.2,0.0,479
480,2012,0.3,0.6,0.9,1.0,1.1,0.7,1.5,1.0,0.0,480
481,2012,1.7,2.0,3.7,1.9,1.6,2.0,0.8,1.6,0.1,481
482,2012,0.6,1.2,1.8,1.7,0.8,1.2,0.7,0.6,0.1,482
