player_id,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
113,bishops,2010,,11,16.0,0.0,14.4
114,bishops,2010,,13,16.0,15.0,20.4
115,bishops,2010,,14,16.0,9.0,24.2
116,bishops,2010,,15,3.0,0.0,2.0
117,bishops,2010,,21,14.0,0.0,5.7
118,bishops,2010,,23,16.0,1.0,17.5
119,bishops,2010,,24,15.0,0.0,11.5
120,concordia,2010,,04,2.0,0.0,0.5
121,concordia,2010,,05,16.0,0.0,17.6
122,concordia,2010,,06,16.0,8.0,28.9
123,concordia,2010,,07,3.0,0.0,2.7
124,concordia,2010,,08,16.0,3.0,25.7
125,concordia,2010,,09,16.0,8.0,39.8
126,concordia,2010,,10,16.0,8.0,30.8
127,concordia,2010,,11,1.0,0.0,0.0
128,concordia,2010,,12,16.0,1.0,18.0
129,concordia,2010,,13,13.0,4.0,20.8
130,concordia,2010,,15,2.0,0.0,0.0
131,concordia,2010,,20,16.0,8.0,26.0
132,laval,2010,,04,16.0,0.0,14.5
133,laval,2010,,06,16.0,14.0,30.4
134,laval,2010,,07,12.0,2.0,14.6
135,laval,2010,,08,0.0,0.0,0.0
136,laval,2010,,09,16.0,14.0,31.3
137,laval,2010,,10,16.0,0.0,16.4
138,laval,2010,,11,15.0,0.0,8.1
139,laval,2010,,12,15.0,1.0,8.0
140,laval,2010,,13,16.0,13.0,29.1
141,laval,2010,,14,14.0,0.0,11.8
142,laval,2010,,15,16.0,14.0,23.8
143,laval,2010,,21,4.0,0.0,2.8
144,laval,2010,,22,13.0,12.0,29.1
145,mcgill,2010,,04,16.0,9.0,21.9
146,mcgill,2010,,05,16.0,11.0,30.2
147,mcgill,2010,,06,13.0,9.0,27.6
148,mcgill,2010,,07,8.0,0.0,5.3
149,mcgill,2010,,08,16.0,4.0,24.6
150,mcgill,2010,,09,10.0,1.0,7.3
151,mcgill,2010,,10,12.0,0.0,8.9
152,mcgill,2010,,12,16.0,5.0,12.8
153,mcgill,2010,,13,6.0,0.0,1.2
154,mcgill,2010,,14,16.0,12.0,32.3
155,mcgill,2010,,15,3.0,0.0,4.7
156,mcgill,2010,,20,10.0,4.0,19.4
157,mcgill,2010,,21,16.0,3.0,19.1
158,mcgill,2010,,22,1.0,1.0,5.0
159,mcgill,2010,,24,7.0,1.0,8.3
160,uqam,2010,,05,16.0,0.0,23.4
161,uqam,2010,,08,2.0,0.0,3.0
162,uqam,2010,,09,16.0,0.0,10.8
163,uqam,2010,,10,8.0,0.0,4.4
164,uqam,2010,,11,16.0,10.0,23.4
165,uqam,2010,,12,13.0,0.0,3.1
166,uqam,2010,,13,14.0,0.0,5.5
167,uqam,2010,,15,16.0,13.0,23.8
168,uqam,2010,,21,16.0,3.0,17.7
169,uqam,2010,,22,16.0,13.0,26.8
170,uqam,2010,,23,16.0,13.0,30.7
171,uqam,2010,,24,15.0,13.0,29.1
172,brock,2010,,03,13.0,0.0,4.9
173,brock,2010,,04,1.0,0.0,0.0
174,brock,2010,,05,2.0,0.0,2.5
175,brock,2010,,06,21.0,0.0,10.4
176,brock,2010,,07,20.0,15.0,22.2
177,brock,2010,,08,19.0,0.0,7.7
178,brock,2010,,09,22.0,0.0,19.4
179,brock,2010,,10,22.0,2.0,20.8
180,brock,2010,,11,21.0,20.0,24.4
181,brock,2010,,12,22.0,21.0,29.0
182,brock,2010,,13,21.0,13.0,24.4
183,brock,2010,,15,2.0,0.0,1.5
184,brock,2010,,22,22.0,21.0,30.5
185,brock,2010,,23,16.0,13.0,23.1
186,carleton,2010,,04,9.0,0.0,4.8
187,carleton,2010,,05,22.0,21.0,28.8
188,carleton,2010,,06,17.0,0.0,8.5
189,carleton,2010,,07,22.0,21.0,27.0
190,carleton,2010,,08,4.0,4.0,15.8
191,carleton,2010,,09,22.0,16.0,22.7
192,carleton,2010,,10,22.0,1.0,20.6
193,carleton,2010,,11,22.0,21.0,24.8
194,carleton,2010,,12,19.0,0.0,11.7
195,carleton,2010,,13,22.0,0.0,19.4
196,carleton,2010,,20,22.0,0.0,11.2
197,carleton,2010,,21,22.0,21.0,23.6
198,carleton,2010,,22,1.0,0.0,3.0
199,guelph,2010,,04,20.0,0.0,14.2
200,guelph,2010,,05,22.0,12.0,24.8
201,guelph,2010,,06,22.0,15.0,31.2
202,guelph,2010,,7,1.0,0.0,0.0
203,guelph,2010,,8,20.0,2.0,17.4
204,guelph,2010,,09,19.0,1.0,7.6
205,guelph,2010,,11,22.0,18.0,30.5
206,guelph,2010,,12,13.0,7.0,21.8
207,guelph,2010,,13,22.0,19.0,30.8
208,guelph,2010,,21,21.0,18.0,29.0
209,guelph,2010,,23,8.0,3.0,15.9
210,lakehead,2010,,04,22.0,0.0,20.4
211,lakehead,2010,,05,22.0,8.0,19.7
212,lakehead,2010,,06,22.0,20.0,33.1
