player_id,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
673,2011,1.4,4.2,32.6,0.5,2.2,22.4,0.5,0.6,78.6,3.7
674,2011,5.0,14.9,33.3,2.0,5.9,34.1,4.5,5.5,83.3,16.5
675,2011,3.0,8.7,34.5,1.4,4.0,35.9,1.6,2.2,71.4,9.0
676,2011,3.0,7.7,39.1,0.5,0.8,60.0,0.3,0.7,50.0,6.8
677,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,2011,1.5,4.5,34.7,0.0,0.0,0.0,0.7,1.6,44.4,3.8
679,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,2011,2.6,8.2,32.5,0.0,0.3,0.0,1.2,2.5,50.0,6.5
681,2011,1.6,5.0,32.4,0.0,0.0,0.0,2.0,3.1,62.3,5.2
682,2011,0.2,0.5,33.3,0.2,0.2,100.0,0.0,0.0,0.0,0.5
294,2011,2.1,7.2,29.1,0.2,1.4,17.6,2.2,3.0,72.2,6.6
683,2011,0.3,0.9,37.5,0.1,0.4,25.0,0.0,0.0,0.0,0.8
684,2011,1.3,4.1,31.9,0.9,3.3,27.8,0.0,0.0,0.0,3.5
685,2011,2.6,8.6,30.5,0.2,1.2,18.5,0.9,1.3,71.4,6.4
290,2011,0.9,2.7,32.7,0.1,0.6,18.2,0.2,0.5,44.4,2.1
291,2011,5.2,16.4,31.9,2.3,7.3,31.7,4.1,5.4,77.1,16.9
292,2011,4.4,13.0,33.6,2.4,6.4,36.9,2.6,3.9,66.2,13.7
686,2011,0.3,0.9,36.4,0.2,0.6,28.6,0.0,0.0,0.0,0.8
687,2011,0.4,1.5,27.3,0.0,0.1,0.0,0.2,0.3,60.0,1.0
688,2011,0.5,1.6,29.0,0.0,0.1,0.0,0.4,0.7,57.1,1.3
295,2011,0.5,1.7,27.3,0.1,0.5,10.0,0.0,0.0,0.0,1.0
296,2011,3.9,8.5,46.5,0.0,0.0,0.0,2.0,2.8,72.3,9.9
689,2011,0.2,0.4,66.7,0.0,0.0,0.0,0.1,0.2,50.0,0.6
690,2011,2.1,4.6,46.0,0.0,0.0,0.0,1.1,1.9,54.1,5.3
691,2011,1.6,5.4,30.3,0.5,2.5,20.0,0.6,0.9,73.7,4.4
692,2011,3.2,8.2,39.2,0.5,2.1,23.4,1.8,3.0,59.1,8.7
693,2011,1.9,4.5,42.7,0.0,0.2,0.0,0.8,1.5,56.7,4.7
694,2011,4.0,10.5,38.1,0.4,2.2,18.4,1.5,2.2,69.4,10.0
695,2011,0.6,2.5,23.3,0.0,0.1,0.0,1.5,2.2,68.4,2.7
696,2011,0.2,1.9,13.3,0.0,0.0,0.0,0.2,0.5,50.0,0.8
697,2011,2.1,4.8,44.3,0.0,0.0,0.0,1.1,2.0,58.1,5.4
698,2011,1.3,4.3,30.5,0.3,2.0,16.3,0.8,1.0,77.3,3.7
699,2011,0.3,1.5,17.6,0.2,0.5,40.0,0.3,0.4,75.0,1.0
700,2011,1.1,3.5,31.7,0.0,0.0,0.0,0.5,0.7,66.7,2.7
701,2011,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
702,2011,1.6,3.7,42.9,0.0,0.1,0.0,1.2,1.9,60.6,4.4
703,2011,5.5,13.8,39.7,0.6,1.8,34.2,2.7,4.0,66.7,14.2
704,2011,3.0,7.8,38.7,0.7,1.9,34.2,4.3,5.3,80.4,10.9
705,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,2011,0.7,3.3,20.8,0.1,1.2,11.1,0.2,0.3,66.7,1.7
707,2011,2.1,8.1,26.4,0.3,2.0,15.6,1.0,1.6,58.3,5.5
708,2011,0.7,2.2,31.1,0.0,0.1,0.0,0.2,0.9,26.3,1.6
709,2011,0.8,3.5,21.7,0.2,1.4,18.5,0.6,0.9,61.1,2.3
710,2011,2.9,9.3,30.5,0.4,1.9,20.5,3.2,4.9,65.3,9.3
711,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
