Year,Name,School,Conference,Grade
2015,Queteline Celestin, UQAM,RSEQ,1
2015,Jane Gagne, Laval,RSEQ,1
2015,Jessica Lubin, UQAM,RSEQ,1
2015,Marilyse Roy-Viau, Concordia,RSEQ,1
2015,Mariam Sylla, McGill,RSEQ,1
2016,Raphaelle Cote, Laval,RSEQ,1
2016,Richelle Gregoire, Concordia,RSEQ,1
2016,Alexandria Kiss-Rusk, McGill,RSEQ,1
2016,Jessica Lubin, UQAM,RSEQ,1
2016,Mariam Sylla, McGill,RSEQ,1
2017,Jane Gagne, Laval,RSEQ,1
2017,Richelle Gregoire, Concordia,RSEQ,1
2017,Alexandria Kiss-Rusk, McGill,RSEQ,1
2017,Jessica Lubin, UQAM,RSEQ,1
2017,Sarah-Jane Marois, Laval,RSEQ,1
2018,Raphaelle Cote, Laval,RSEQ,1
2018,Alexandria Kiss-Rusk, McGill,RSEQ,1
2018,Jessica Lubin, UQAM,RSEQ,1
2018,Mara Lis Marchizotti, Bishops,RSEQ,1
2018,Edith Noblecilla, Bishops,RSEQ,1
2019,Khaleann Caron-Goudreau, Laval,RSEQ,1
2019,Jane Gagne, Laval,RSEQ,1
2019,Myriam Leclerc, Concordia,RSEQ,1
2019,Sarah-Jane Marois, Laval,RSEQ,1
2019,Caroline Task, Concordia,RSEQ,1
2020,Clara Blachier, UQAM,RSEQ,1
2020,Khaleann Caron-Goudreau, Laval,RSEQ,1
2020,Jael Kabunda, Bishops,RSEQ,1
2020,Myriam Leclerc, Concordia,RSEQ,1
2020,Amaiquen Siciliano, Bishops,RSEQ,1
2022,Veronique Boivin, UQAM,RSEQ,1
2022,Lea Dominique, Laval,RSEQ,1
2022,Myriam Leclerc, Concordia,RSEQ,1
2022,Amaiquen Siciliano, Bishops,RSEQ,1
2022,Caroline Task, Concordia,RSEQ,1
2023,Areej Burgonio, Concordia,RSEQ,1
2023,Victoria Gauna, Bishops,RSEQ,1
2023,Amaiquen Siciliano, Bishops,RSEQ,1
2023,Lea-Sophie Verret, Laval,RSEQ,1
2023,Fredlyne Verrier, UQAM,RSEQ,1
2010,Jessica Bibeau-Cote, UQAM,RSEQ,2
2010,Irline Noel, UQAM,RSEQ,2
2010,Kristin Portwine, Concordia,RSEQ,2
2010,Jill Verhesen, Concordia,RSEQ,2
2010,Stephanie Youakim, UQAM,RSEQ,2
2011,Jessica Bibeau-Cote, UQAM,RSEQ,2
2011,Francoise Charest, McGill,RSEQ,2
2011,Yasmin Jean-Philippe, Concordia,RSEQ,2
2011,Elyse Jobin, Laval,RSEQ,2
2011,Jessy Roy, Bishops,RSEQ,2
2012,Magalie Beaulieu, Concordia,RSEQ,2
2012,Gabrielle Chamberland, Bishops,RSEQ,2
2012,Marie-Eve Martin, McGill,RSEQ,2
2012,Marie-Pascale Nadeau, Laval,RSEQ,2
2012,Emie Simard, UQAM,RSEQ,2
2013,Gabrielle Chamberland, Bishops,RSEQ,2
2013,Francoise Charest, McGill,RSEQ,2
2013,Valerie Gauvin, UQAM,RSEQ,2
2013,Elyse Jobin, Laval,RSEQ,2
2013,Marilyse Roy-Viau, Concordia,RSEQ,2
2014,Helene Bibeau, McGill,RSEQ,2
2014,Gabrielle Girard, Laval,RSEQ,2
2014,Jannie Jacques, Laval,RSEQ,2
2014,Camille Michaud, UQAM,RSEQ,2
2014,Marilyse Roy-Viau, Concordia,RSEQ,2
2015,Kaylah Barrett, Concordia,RSEQ,2
2015,Sarah-Jane Marois, Laval,RSEQ,2
2015,Edith Noblecilla, Bishops,RSEQ,2
2015,Dianna Ros, McGill,RSEQ,2
2015,Jennifer Silver, McGill,RSEQ,2
2016,Queteline Celestin, UQAM,RSEQ,2
2016,Gabrielle Girard, Laval,RSEQ,2
2016,Marie-Eve Martin, Concordia,RSEQ,2
2016,Dianna Ros, McGill,RSEQ,2
2016,Marilyse Roy-Viau, Concordia,RSEQ,2
2017,Queteline Celestin, UQAM,RSEQ,2
2017,Raphaelle Cote, Laval,RSEQ,2
2017,Gabrielle Girard, Laval,RSEQ,2
2017,Edith Noblecilla, Bishops,RSEQ,2
2017,Marilyse Roy-Viau, Concordia,RSEQ,2
2018,Jazlin Barker, Concordia,RSEQ,2
2018,Jane Gagne, Laval,RSEQ,2
2018,Sarah-Jane Marois, Laval,RSEQ,2
2018,Frederique Potvin, McGill,RSEQ,2
2018,Caroline Task, Concordia,RSEQ,2
2019,Maude Archambault, Bishops,RSEQ,2
2019,Veronique Boivin, UQAM,RSEQ,2
2019,Sirah Diarra, McGill,RSEQ,2
2019,Claudia Emond, Laval,RSEQ,2
2019,Gladys Hakizimana, McGill,RSEQ,2
2020,Maude Archambault, Laval,RSEQ,2
2020,Carrie-Ann Auger, Laval,RSEQ,2
2020,Veronique Boivin, UQAM,RSEQ,2
2020,Nadege Pluviose, McGill,RSEQ,2
2020,Caroline Task, Concordia,RSEQ,2
2022,Coralie Dumont, Concordia,RSEQ,2
2022,Victoria Gauna, Bishops,RSEQ,2
2022,Jael Kabunda, Bishops,RSEQ,2
2022,Kim Letang, Laval,RSEQ,2
2022,Fredlyne Verrier, UQAM,RSEQ,2
2023,Alexe Dufresne, UQAM,RSEQ,2
2023,Jael Kabunda, Bishops,RSEQ,2
2023,Sabrine Khelifi, Laval,RSEQ,2
2023,Emma-Jane Scotten, McGill,RSEQ,2
2023,Fredlaine Verrier, UQAM,RSEQ,2
