Year,Name,School,Conference,Grade
2010,Lindsay DeGroot Sutherland, Saskatchewan,CANWEST,1
2010,Kayla Dykstra, Victoria,CANWEST,1
2010,Brittany Read, Regina,CANWEST,1
2010,Lia St. Pierre, UBC,CANWEST,1
2011,Caitlin Gooch, Winnipeg,CANWEST,1
2011,Marisa Haylett, Alberta,CANWEST,1
2011,Jill Humbert, Saskatchewan,CANWEST,1
2011,Kimberley Tulloch, Saskatchewan,CANWEST,1
2011,Joanna Zalesiak, Regina,CANWEST,1
2012,Zara Huntley, UBC,CANWEST,1
2012,Jenna Kaye, Calgary,CANWEST,1
2012,Katie Miyazaki, Saskatchewan,CANWEST,1
2012,Diane Schuetze, Thompson Rivers,CANWEST,1
2012,Joanna Zalesiak, Regina,CANWEST,1
2013,Michelle Clark, Regina,CANWEST,1
2013,Dalyce Emmerson, Saskatchewan,CANWEST,1
2013,Diane Schuetze, Thompson Rivers,CANWEST,1
2013,Deborah Yeboah, Victoria,CANWEST,1
2013,Kristjana Young, UBC,CANWEST,1
2014,Andria Carlyon, Alberta,CANWEST,1
2014,Nicole Clarke, Regina,CANWEST,1
2014,Cassie Cooke, Brandon,CANWEST,1
2014,Dalyce Emmerson, Saskatchewan,CANWEST,1
2014,Kristjana Young, UBC,CANWEST,1
2015,Dalyce Emmerson, Saskatchewan,CANWEST,1
2015,Saskia van Ginhoven, Alberta,CANWEST,1
2015,Kimberley Veldman, Lethbridge,CANWEST,1
2015,Sarah Wierks, UFV,CANWEST,1
2015,Kristjana Young, UBC,CANWEST,1
2016,Laura Dally, Saskatchewan,CANWEST,1
2016,Dalyce Emmerson, Saskatchewan,CANWEST,1
2016,Jessilyn Fairbanks, Alberta,CANWEST,1
2016,Charlotte Kot, Regina,CANWEST,1
2016,Kayli Sartori, UFV,CANWEST,1
2017,Sabine Dukate, Saskatchewan,CANWEST,1
2017,Antoinette Miller, Winnipeg,CANWEST,1
2017,Maddison Penn, UBC,CANWEST,1
2017,Katie Polischuk, Regina,CANWEST,1
2017,Maddie Rogers, Alberta,CANWEST,1
2018,Sabine Dukate, Saskatchewan,CANWEST,1
2018,Kyanna Giles, Regina,CANWEST,1
2018,Antoinette Miller, Winnipeg,CANWEST,1
2018,Maddison Penn, UBC,CANWEST,1
2018,Tessa Ratzlaff Allison, Trinity Western,CANWEST,1
2019,Sabine Dukate, Saskatchewan,CANWEST,1
2019,Keylyn Filewich, UBC,CANWEST,1
2019,Kyanna Giles, Regina,CANWEST,1
2019,Faith Hezekiah, Winnipeg,CANWEST,1
2019,Vasiliki Louka, UNBC,CANWEST,1
2020,Taylor Claggett, UFV,CANWEST,1
2020,Keylyn Filewich, UBC,CANWEST,1
2020,Summer Masikewich, Saskatchewan,CANWEST,1
2020,Maria Mongomo, UNBC,CANWEST,1
2020,Vanessa Wild, Alberta,CANWEST,1
2021,Ashlyn Day, Victoria,CANWEST,1
2021,Keylyn Filewich, Winnipeg,CANWEST,1
2021,Emma Kary, Alberta,CANWEST,1
2021,Summer Masikewich, Saskatchewan,CANWEST,1
2021,Deanna Tuchscherer, UFV,CANWEST,1
2023,Carly Ahlstrom, Saskatchewan,CANWEST,1
2023,Jade Belmore, Regina,CANWEST,1
2023,Kyanna Giles, Winnipeg,CANWEST,1
2023,Maddy Gobeil, UFV,CANWEST,1
