Num,Name,Yr,Pos,GP,GS,Min,Pct,3Pct,FTPct,Pts,FGM,FGA,3FGM,3FGA,FTM,FTA,OReb,DReb,Reb,Ast,TO,Stl,Blk,Team,Season
33,Kelsey Solarchuk,So,G,18,-,315,30.2,-,79.2,45,13,43,0,0,19,24,13,33,46,7,29,8,1,brandon,2010
04,Megan Schaufele,2,P,20,19,493,40.3,23.3,82.8,167,56,139,7,30,48,58,13,51,64,69,63,50,0,calgary,2010
06,Tilly Ettinger,1,G,20,1,338,43.5,31.0,66.0,118,37,85,9,29,35,53,15,61,76,34,57,29,1,calgary,2010
07,Tamara Jarrett,1,G,20,1,386,41.8,20.0,59.5,202,74,177,7,35,47,79,22,42,64,18,68,29,3,calgary,2010
08,Robyn Gibson,2,F,20,17,552,40.0,30.3,67.9,164,58,145,10,33,38,56,40,54,94,25,53,30,4,calgary,2010
09,Alex Cole,2,F,19,19,424,46.2,30.0,68.6,233,79,171,3,10,72,105,30,72,102,18,44,19,30,calgary,2010
10,Megan Lang,2,P,20,20,565,37.9,30.6,57.1,197,75,198,19,62,28,49,24,48,72,65,58,26,0,calgary,2010
12,Ashley Hill,4,F,20,20,609,37.5,40.5,79.7,302,100,267,51,126,51,64,11,54,65,17,42,22,6,calgary,2010
15,Kaitie Beard,1,P,20,3,317,44.1,36.8,81.0,84,30,68,7,19,17,21,20,30,50,11,22,4,1,calgary,2010
22,Elise Horton,1,P,17,-,184,62.5,-,56.7,87,35,56,0,0,17,30,24,32,56,7,42,18,3,calgary,2010
04,Courtney Heinricks,2,G,20,-,219,36.9,29.0,61.5,65,24,65,9,31,8,13,9,10,19,16,14,9,0,lethbridge,2010
05,Becky Heninger,4,G,20,5,505,48.6,25.0,79.5,203,67,138,3,12,66,83,20,47,67,45,43,20,2,lethbridge,2010
06,Stephanie Price,3,G,20,19,643,39.2,24.1,81.6,309,112,286,14,58,71,87,33,89,122,98,83,56,0,lethbridge,2010
07,Lauren Taal,3,G,20,19,688,41.6,35.8,77.6,294,104,250,48,134,38,49,19,54,73,61,55,40,1,lethbridge,2010
08,Sam Hornquist,2,G,20,19,453,40.0,23.3,82.5,164,62,155,7,30,33,40,33,49,82,17,49,14,3,lethbridge,2010
09,Kara Henry,3,F,19,-,166,25.0,50.0,75.0,26,8,32,1,2,9,12,12,10,22,3,9,7,1,lethbridge,2010
12,Hannah Blanchette,4,F,15,8,295,40.2,42.9,80.6,110,41,102,3,7,25,31,21,32,53,15,21,22,2,lethbridge,2010
13,Devon Kendall,1,F,17,1,173,32.5,44.4,75.0,42,13,40,4,9,12,16,7,18,25,4,16,9,2,lethbridge,2010
15,Kenzie Sheen,4,F,20,19,549,44.0,33.3,64.4,158,62,141,5,15,29,45,46,47,93,31,34,24,1,lethbridge,2010
22,Morgan Cross,2,P,20,5,299,36.4,0.0,76.5,61,24,66,0,12,13,17,7,18,25,10,32,4,1,lethbridge,2010
04,Lauren Mortier,Jr,F,20,16,453,27.7,22.9,70.7,146,49,177,19,83,29,41,23,49,72,40,56,26,6,manitoba,2010
07,Kayla Klassen,Sr,G,20,20,614,36.6,34.5,81.8,241,86,235,51,148,18,22,38,71,109,41,45,45,4,manitoba,2010
08,Kait Flett,Sr,G,20,20,657,41.4,29.4,68.8,241,96,232,5,17,44,64,41,61,102,47,55,17,1,manitoba,2010
09,W. Lodge-Zaparnick,So,G,20,-,264,18.1,33.3,75.0,62,13,72,3,9,33,44,8,12,20,25,37,15,1,manitoba,2010
10,Nicole Vestby,Fr,F,11,-,78,26.1,0.0,60.0,18,6,23,0,1,6,10,8,7,15,5,8,4,0,manitoba,2010
11,Maria Pawlyshyn,Jr,F,20,3,430,36.2,30.6,65.2,102,38,105,11,36,15,23,30,52,82,21,35,19,0,manitoba,2010
12,Colleen Dorrian,So,F,15,1,119,45.0,-,36.4,22,9,20,0,0,4,11,7,8,15,3,11,2,2,manitoba,2010
13,Mubo Ilelaboye,Jr,F,20,20,538,44.7,22.2,64.9,225,93,208,2,9,37,57,42,59,101,23,54,38,2,manitoba,2010
14,Michele Hynes,Sr,G,20,20,663,34.9,33.3,67.4,232,81,232,41,123,29,43,12,46,58,86,68,40,1,manitoba,2010
15,Vanessa De vries,Fr,F,19,-,184,33.3,-,50.0,26,10,30,0,0,6,12,18,18,36,2,13,6,0,manitoba,2010
04,Stacey Walker,Sr,G,20,18,513,37.0,40.7,95.8,107,30,81,24,59,23,24,4,49,53,51,31,24,1,regina,2010
05,Kelsey Lothian,Fr,G,12,-,88,30.8,17.6,75.0,22,8,26,3,17,3,4,1,8,9,2,5,9,2,regina,2010
07,Vanessa Wesolowski,So,F,18,-,177,31.7,33.3,50.0,38,13,41,5,15,7,14,16,23,39,10,24,2,0,regina,2010
