Num,Name,Yr,Pos,GP,GS,Min,Pct,3Pct,FTPct,Pts,FGM,FGA,3FGM,3FGA,FTM,FTA,OReb,DReb,Reb,Ast,TO,Stl,Blk,Team,Season
05,Brittney Brown,,G,13,-,110,26.9,18.8,83.3,22,7,26,3,16,5,6,2,9,11,2,6,1,0,stfx,2012
06,Anne Kiberd,,G,20,3,369,37.7,40.5,72.7,150,55,146,32,79,8,11,8,30,38,31,47,10,4,stfx,2012
07,Rebecca Sheehan,,F,20,20,691,35.6,23.5,72.1,169,63,177,12,51,31,43,34,52,86,80,58,56,7,stfx,2012
08,Jocelyn Moore,,G,20,5,463,38.3,50.0,58.3,115,44,115,13,26,14,24,4,36,40,42,38,10,2,stfx,2012
09,Vanessa Pickard,,G,20,20,681,39.5,36.8,82.3,343,116,294,32,87,79,96,20,78,98,73,73,50,8,stfx,2012
11,Kirsten Jones,,F,12,11,270,42.2,16.7,79.5,150,57,135,1,6,35,44,18,57,75,13,23,10,10,stfx,2012
15,Kolbi Roper,,F,16,1,306,39.7,100.0,58.5,136,52,131,1,1,31,53,22,41,63,15,33,9,0,stfx,2012
21,Donisha Young,,F,18,17,432,40.9,-,51.1,246,88,215,0,0,70,137,66,78,144,20,22,15,5,stfx,2012
22,Alex Martell,,G,17,10,230,23.8,19.0,53.8,31,10,42,4,21,7,13,8,17,25,15,21,5,0,stfx,2012
4,Megan Corby,,G,20,20,588,32.9,46.2,75.0,143,49,149,12,26,33,44,9,56,65,68,61,20,0,unb,2012
5,Samantha Kaminsky,,G,20,-,336,40.6,0.0,53.8,92,39,96,0,2,14,26,17,35,52,11,28,8,9,unb,2012
6,Samantha Wilson,,G,14,1,58,46.7,20.0,-,15,7,15,1,5,0,0,2,3,5,2,8,2,0,unb,2012
8,Danielle Scime,,G,16,1,193,27.1,15.0,66.7,37,16,59,3,20,2,3,8,16,24,19,15,6,0,unb,2012
9,Emma Russell,,F,20,19,476,31.9,29.8,62.1,186,68,213,14,47,36,58,29,111,140,32,44,11,23,unb,2012
11,Jordanne Holstein,,C,17,16,455,40.7,40.3,77.3,186,72,177,25,62,17,22,31,47,78,48,37,10,2,unb,2012
14,Melissa Foster,,F,20,20,544,40.2,-,59.4,85,33,82,0,0,19,32,30,45,75,22,47,7,2,unb,2012
15,Claire Colborne,,C,20,20,629,41.7,37.6,80.5,412,141,338,35,93,95,118,27,74,101,60,78,4,3,unb,2012
20,Rachel Cleary,,G,20,-,285,50.0,0.0,80.0,74,31,62,0,2,12,15,30,28,58,11,6,3,0,unb,2012
22,Colleen Daly,,G,20,3,435,44.3,40.3,100.0,129,47,106,31,77,4,4,9,22,31,35,21,18,0,unb,2012
4,Julia McKenna,So,G,15,-,98,31.0,40.0,81.8,29,9,29,2,5,9,11,3,5,8,0,18,8,0,upei,2012
5,Katelynn Donahoe,Fr,G,20,9,438,40.8,33.3,52.0,82,31,76,7,21,13,25,10,32,42,33,42,18,2,upei,2012
6,Terrilyn Herrick,Fr,F,19,-,328,39.4,10.0,60.7,117,41,104,1,10,34,56,15,34,49,10,24,9,7,upei,2012
7,Carly LaFave,Sr,G,13,-,124,46.9,36.4,66.7,44,15,32,4,11,10,15,8,11,19,13,12,10,2,upei,2012
9,Katie Moore,Sr,F,19,18,369,34.3,0.0,51.0,98,36,105,0,6,26,51,32,52,84,16,23,10,6,upei,2012
10,Amy Gough,Jr,G,20,19,555,31.1,22.8,76.5,226,56,180,13,57,101,132,12,103,115,46,81,23,12,upei,2012
11,Nakita Newman,Jr,G,17,6,258,42.0,33.3,78.9,98,37,88,9,27,15,19,6,26,32,22,26,13,1,upei,2012
13,Emily MacEachern,Sr,F,20,1,305,48.3,100.0,75.0,104,42,87,2,2,18,24,22,27,49,25,37,12,4,upei,2012
14,Danielle MacDonald,Jr,G,20,11,519,40.9,29.7,84.6,159,52,127,11,37,44,52,7,55,62,54,74,18,1,upei,2012
15,Jenna Jones,Jr,G,20,19,587,36.3,37.9,86.3,228,74,204,36,95,44,51,16,42,58,19,44,27,3,upei,2012
21,Laura Power,Fr,F,19,11,388,37.0,34.7,71.4,130,44,119,17,49,25,35,18,45,63,17,35,9,6,upei,2012
04,Catherine Belanger-Paquet,So,G,15,13,384,31.1,33.3,75.9,101,33,106,13,39,22,29,33,61,94,24,20,21,8,bishops,2012
05,Gabrielle Chamberland,So,F,15,14,381,35.0,34.8,74.0,178,50,143,24,69,54,73,25,40,65,19,31,13,3,bishops,2012
07,Veronique Fortin-Tremblay,Fr,G,16,13,327,29.7,16.7,70.0,105,43,145,5,30,14,20,23,30,53,13,43,0,14,bishops,2012
10,Jessy Roy,5S,G,15,14,506,34.8,22.7,81.0,151,56,161,5,22,34,42,10,66,76,55,46,30,5,bishops,2012
11,Riley Shkimba,So,G,12,-,251,28.2,25.5,91.7,69,22,78,14,55,11,12,14,25,39,7,12,4,0,bishops,2012
12,Catherine Rondeau,So,F,16,-,295,28.3,19.1,50.0,67,26,92,9,47,6,12,19,23,42,20,54,24,0,bishops,2012
13,Danielle Lumley,Fr,F,12,-,104,25.0,0.0,33.3,13,6,24,0,2,1,3,11,13,24,3,6,2,0,bishops,2012
14,Annick Stephanny Charles,Sr,G,16,1,332,29.2,19.0,60.9,70,19,65,4,21,28,46,19,43,62,23,24,24,6,bishops,2012
15,Danna Janvier,So,C,15,1,251,38.0,0.0,68.4,83,35,92,0,2,13,19,30,35,65,8,34,15,5,bishops,2012
21,Eloisa Katz,Fr,F,16,14,346,32.7,23.5,75.9,100,35,107,8,34,22,29,13,49,62,14,55,16,6,bishops,2012
4,Kaylah Barrett,,G,14,14,430,37.9,31.1,74.8,229,69,182,14,45,77,103,34,57,91,29,38,30,4,concordia,2012
5,Magalie Beaulieu,,G,15,15,487,29.0,20.8,48.1,126,49,169,15,72,13,27,21,50,71,16,34,25,1,concordia,2012
8,Anne-Marie Prophete,,F,15,10,310,33.3,28.0,48.5,108,39,117,14,50,16,33,32,35,67,6,34,16,2,concordia,2012
9,Ashley Clarke,,G,15,14,482,20.2,16.1,61.5,55,21,104,5,31,8,13,14,51,65,37,36,27,1,concordia,2012
10,Alex Boudreau,,G,14,-,266,30.9,29.5,90.9,86,29,94,18,61,10,11,18,14,32,15,31,10,1,concordia,2012
11,Serginha Estim̩,,F,16,1,218,34.5,-,47.8,60,19,55,0,0,22,46,48,40,88,3,19,19,3,concordia,2012
12,Andreanne G-Boudreau,,F,16,6,322,33.6,26.2,60.5,115,38,113,16,61,23,38,24,30,54,13,15,10,1,concordia,2012
15,Tina Mpondani,,F,15,13,319,30.1,0.0,50.0,63,28,93,0,2,7,14,27,63,90,8,17,19,7,concordia,2012
21,Natasha Raposo,,G,10,2,157,28.6,17.4,41.7,61,24,84,8,46,5,12,7,10,17,4,9,7,0,concordia,2012
4,Marjorie Ferland,,,16,13,474,36.5,36.4,75.8,91,27,74,12,33,25,33,2,31,33,41,46,19,1,laval,2012
5,Catherine A-Cote,,,16,-,98,37.5,0.0,85.7,18,6,16,0,3,6,7,3,12,15,2,8,2,3,laval,2012
6,Elyse Jobin,,,16,14,449,41.7,40.7,77.4,187,65,156,33,81,24,31,14,79,93,17,53,20,8,laval,2012
7,Kathryn Bariault,,,13,-,71,20.0,33.3,33.3,7,2,10,1,3,2,6,2,8,10,6,12,0,0,laval,2012
9,Jannie Jacques,,,15,2,323,37.8,28.6,65.0,90,31,82,2,7,26,40,12,45,57,14,23,7,1,laval,2012
10,Sandrine Ducruc,,,16,14,398,46.8,37.5,81.5,144,58,124,6,16,22,27,21,67,88,11,28,8,2,laval,2012
11,Catherine Groleau,,,15,-,104,34.3,0.0,80.0,32,12,35,0,6,8,10,8,13,21,5,13,2,1,laval,2012
12,Melodie Laniel-Dion,,,16,13,373,29.5,20.0,50.0,102,36,122,8,40,22,44,19,37,56,17,36,12,4,laval,2012
13,Chanelle St-Amour,,,16,1,323,30.3,23.9,80.0,123,43,142,17,71,20,25,9,35,44,34,35,16,1,laval,2012
14,Rachel Blouin-Brochu,,,15,-,82,8.3,0.0,100.0,4,1,12,0,2,2,2,6,12,18,1,8,0,1,laval,2012
15,Marie-Pascale Nadeau,,,15,13,392,40.7,0.0,65.9,141,57,140,0,1,27,41,38,76,114,10,40,12,21,laval,2012
21,Eve-Sophie Lefebvre,,,12,-,56,20.0,0.0,60.0,5,1,5,0,3,3,5,3,5,8,4,7,4,0,laval,2012
4,Dianna Ros,Sr,PG,16,8,336,34.2,33.3,64.3,103,41,120,12,36,9,14,7,43,50,29,34,9,5,mcgill,2012
5,Natalie Larocque,Sr,G,16,7,338,36.2,27.3,76.7,100,34,94,9,33,23,30,7,46,53,21,41,14,3,mcgill,2012
6,Anneth Him-Lazarenko,Sr,PG,12,9,259,41.8,-,60.3,146,51,122,0,0,44,73,32,46,78,8,26,7,0,mcgill,2012
7,Shelby Eveleigh,Fr,PG,14,2,142,42.9,0.0,57.1,22,9,21,0,2,4,7,5,6,11,18,14,8,0,mcgill,2012
8,Francoise Charest,Jr,PG,14,12,423,37.6,31.8,76.9,156,56,149,14,44,30,39,12,54,66,34,25,19,0,mcgill,2012
9,Frances Grout-Brown,Jr,G,12,-,64,27.8,22.2,-,12,5,18,2,9,0,0,2,0,2,2,8,1,0,mcgill,2012
11,Roya Assadi,So,G,16,1,264,42.2,35.0,68.8,72,27,64,7,20,11,16,21,43,64,8,33,14,7,mcgill,2012
13,Gabriela Hebert,Fr,F,16,1,195,29.0,30.0,83.3,66,20,69,6,20,20,24,15,40,55,8,19,13,1,mcgill,2012
14,Marie-Eve Martin,Jr,G,16,13,402,31.1,31.8,73.7,117,38,122,27,85,14,19,17,29,46,10,15,23,3,mcgill,2012
21,Helene Bibeau,Jr,F,16,4,239,43.5,48.3,87.0,94,30,69,14,29,20,23,13,45,58,8,19,11,3,mcgill,2012
22,Valerie L'Ecuyer,So,PG,16,1,243,60.8,33.3,77.8,112,45,74,1,3,21,27,26,26,52,6,22,7,11,mcgill,2012
24,Tiye Traore,Sr,F,11,9,136,27.5,-,0.0,22,11,40,0,0,0,3,14,20,34,0,11,8,4,mcgill,2012
5,Michelle A-Bellemare,,Guard,15,14,463,37.4,34.7,75.7,175,65,174,17,49,28,37,14,49,63,38,60,31,2,uqam,2012
7,Valerie Gauvin,,Guard,15,13,502,31.7,34.5,75.0,136,46,145,20,58,24,32,13,64,77,49,56,30,2,uqam,2012
9,Stephanie Michaud,,Forward,14,2,162,35.7,57.1,-,24,10,28,4,7,0,0,7,13,20,4,16,2,1,uqam,2012
11,Anne-Marie Lavoie,,Forward,16,1,198,31.1,0.0,52.9,37,14,45,0,7,9,17,13,10,23,6,26,6,1,uqam,2012
12,Therese Massock,,Center,11,-,77,35.7,-,50.0,13,5,14,0,0,3,6,5,3,8,3,11,1,0,uqam,2012
13,Catherine Bougie,,Guard,13,13,426,36.4,29.6,59.1,85,32,88,8,27,13,22,15,32,47,31,30,25,1,uqam,2012
14,Lorna Desrameaux-S.,,Forward,14,1,206,46.4,0.0,61.1,63,26,56,0,1,11,18,17,10,27,6,24,7,1,uqam,2012
20,Jessica Leger,,Guard,11,-,89,20.0,15.4,75.0,15,5,25,2,13,3,4,3,6,9,1,6,2,0,uqam,2012
21,Emie Simard,,Center,16,15,546,45.4,17.4,79.2,281,108,238,4,23,61,77,22,73,95,21,52,16,15,uqam,2012
22,Camille Michaud,,Center,15,14,437,35.8,0.0,47.1,104,44,123,0,3,16,34,31,84,115,20,30,12,4,uqam,2012
04,Andrea Polischuk,,,22,13,502,43.5,35.7,73.1,183,70,161,5,14,38,52,28,59,87,37,34,36,2,brock,2012
05,Sarah Mallen,,,22,5,400,40.4,38.7,66.7,117,42,104,29,75,4,6,12,47,59,24,19,11,1,brock,2012
07,Kayla Santilli,,,22,6,419,40.8,32.5,66.7,173,60,147,13,40,40,60,24,37,61,28,41,25,6,brock,2012
08,Jenalyn Yumol,,,21,-,145,14.8,0.0,69.2,17,4,27,0,12,9,13,9,6,15,15,13,15,0,brock,2012
09,Tara Giallonardo,,,22,1,348,38.1,31.6,57.1,116,43,113,18,57,12,21,22,37,59,26,28,35,2,brock,2012
10,Annie McNeely,,,20,-,138,22.7,21.7,28.6,27,10,44,5,23,2,7,7,11,18,5,10,6,0,brock,2012
11,Samantha Dejong,,,22,9,413,39.9,-,75.0,170,67,168,0,0,36,48,36,87,123,15,52,14,8,brock,2012
12,Devyn Cuncic,,,16,13,390,34.5,31.9,90.0,64,20,58,15,47,9,10,3,37,40,45,22,8,5,brock,2012
13,Emily McKay,,,22,21,536,36.8,14.3,72.5,218,88,239,5,35,37,51,64,35,99,35,48,39,2,brock,2012
15,Nicole Rosenkranz,,,22,20,569,40.9,0.0,59.3,306,110,269,0,4,86,145,58,123,181,34,67,35,29,brock,2012
23,Jessica Del signore,,,19,17,491,29.9,28.4,64.0,109,35,117,23,81,16,25,15,26,41,39,24,37,2,brock,2012
04,Chloe Levy,,G,22,-,331,31.1,30.8,91.7,61,19,61,12,39,11,12,12,28,40,18,28,17,1,carleton,2012
05,Alyson Bush,,G,22,21,620,43.4,42.2,64.2,301,111,256,27,64,52,81,16,62,78,71,41,65,6,carleton,2012
06,Krista Van Slingerland,,G,22,21,524,32.2,25.9,75.8,181,64,199,28,108,25,33,33,62,95,26,40,30,8,carleton,2012
09,Jessica Resch,,G,22,-,510,30.1,32.5,59.4,183,69,229,26,80,19,32,36,73,109,28,28,24,5,carleton,2012
10,Kendall MacLeod,,F,22,21,646,34.6,29.9,68.3,252,91,263,29,97,41,60,69,73,142,24,36,23,6,carleton,2012
11,Ashleigh Cleary,,F,22,21,644,44.3,100.0,78.0,245,90,203,1,1,64,82,62,51,113,27,33,26,8,carleton,2012
12,Elizabeth Roach,,G,22,21,621,31.8,30.0,65.1,167,54,170,18,60,41,63,15,73,88,66,44,22,3,carleton,2012
14,Maddison Turner,,F,17,-,177,48.1,-,66.7,30,13,27,0,0,4,6,14,13,27,0,6,7,1,carleton,2012
21,Genavieve Melatti,,F,14,-,224,35.4,0.0,57.1,54,23,65,0,1,8,14,29,23,52,6,9,5,5,carleton,2012
4,Barabara Inrig-Pieterse,Fr,G,22,2,412,23.6,25.5,65.9,91,25,106,12,47,29,44,9,33,42,36,48,11,1,guelph,2012
5,Marlee Freeman,So,G,21,20,596,27.1,28.4,59.4,152,45,166,21,74,41,69,13,40,53,43,62,28,1,guelph,2012
7,Ali Dzikowski,So,G,21,19,622,35.9,32.9,85.0,246,83,231,46,140,34,40,10,76,86,31,65,32,11,guelph,2012
9,Dana Van Balkom,Fr,G,21,3,363,33.3,43.2,64.9,116,38,114,16,37,24,37,10,24,34,14,30,22,1,guelph,2012
10,Andjela Borovac,Jr,C,14,1,84,21.4,-,75.0,12,3,14,0,0,6,8,8,12,20,3,7,0,1,guelph,2012
11,Samantha Russell,Sr,F,22,21,623,38.0,-,69.6,224,73,192,0,0,78,112,56,86,142,30,42,20,17,guelph,2012
13,Kayla Goodhoofd,Jr,F,14,12,368,37.9,17.6,68.0,154,67,177,3,17,17,25,35,43,78,32,42,31,6,guelph,2012
21,Jasmine Douglas,Sr,F,21,20,650,37.9,100.0,68.6,238,77,203,1,1,83,121,71,145,216,27,50,22,39,guelph,2012
23,Katherine MacTavish,Fr,F,21,-,325,47.3,0.0,75.8,111,43,91,0,1,25,33,28,57,85,13,15,7,7,guelph,2012
5,Sierra Guy,Sr,G,22,19,578,28.4,0.0,68.4,71,29,102,0,4,13,19,41,70,111,43,36,32,3,lakehead,2012
7,Kelsey Bardsley,So,G,22,10,543,33.0,33.1,69.2,186,64,194,40,121,18,26,4,32,36,44,56,24,3,lakehead,2012
9,Katie Ulakovic,Jr,G,21,-,364,20.7,13.2,78.3,59,18,87,5,38,18,23,5,21,26,31,43,15,4,lakehead,2012
11,Ayse Kalkan,Jr,G,22,22,585,35.2,19.4,56.9,182,69,196,7,36,37,65,44,75,119,56,76,31,2,lakehead,2012
14,Erika French,Fr,C,16,-,95,33.3,-,50.0,16,6,18,0,0,4,8,2,9,11,4,11,2,11,lakehead,2012
15,Carolyn Fragale,Sr,G,22,22,681,35.4,33.6,78.8,237,80,226,36,107,41,52,15,71,86,71,79,27,2,lakehead,2012
21,Lindsay Inkila,So,F,19,-,184,25.5,21.1,40.0,34,12,47,4,19,6,15,15,13,28,12,16,2,3,lakehead,2012
22,Ashley Randall,So,F,22,4,267,30.3,28.6,61.1,53,20,66,2,7,11,18,12,16,28,6,26,7,2,lakehead,2012
23,Lindsay Druery,Sr -5,F,22,21,636,45.5,20.0,72.5,305,127,279,1,5,50,69,81,119,200,30,48,18,15,lakehead,2012
31,Lacey McNulty,Sr,F,20,12,410,43.0,26.5,41.5,168,71,165,9,34,17,41,27,74,101,33,59,22,6,lakehead,2012
04,Devenae Bryce,,F,22,13,366,35.5,0.0,43.5,86,33,93,0,2,20,46,22,65,87,19,71,27,10,laurentian,2012
05,Adrienne Moreau,,F,20,2,290,31.1,25.0,66.7,78,23,74,10,40,22,33,15,34,49,6,29,24,5,laurentian,2012
07,Krysten Patrick,,G,22,16,559,25.8,22.2,81.8,69,25,97,10,45,9,11,13,35,48,35,70,21,0,laurentian,2012
08,Danielle Harris,,G,22,1,294,23.1,27.3,62.5,64,15,65,9,33,25,40,6,22,28,6,43,15,1,laurentian,2012
09,Amanda McDonald,,G,22,20,689,21.3,15.0,58.6,132,34,160,6,40,58,99,22,49,71,50,49,57,2,laurentian,2012
10,Rebecca Goodier,,F,21,8,325,27.5,21.1,68.2,69,25,91,4,19,15,22,13,37,50,15,49,26,0,laurentian,2012
11,Emily Case,,G,15,-,66,11.1,0.0,50.0,4,1,9,0,5,2,4,11,12,23,4,6,3,0,laurentian,2012
12,Erin Simpson,,G,22,19,579,33.8,30.3,75.5,226,78,231,30,99,40,53,18,79,97,24,69,39,0,laurentian,2012
13,Mandy Cosentino,,F,16,-,82,21.7,0.0,40.0,16,5,23,0,1,6,15,7,9,16,2,9,2,2,laurentian,2012
15,Emma Decloe,,F,21,18,555,45.6,40.0,76.8,209,72,158,2,5,63,82,59,74,133,2,55,16,16,laurentian,2012
22,Kaitlyn Young,,F,14,2,116,50.0,0.0,40.0,24,11,22,0,1,2,5,5,13,18,1,14,3,6,laurentian,2012
23,Mary Scott,,F,22,1,217,30.3,22.2,37.5,55,23,76,6,27,3,8,12,29,41,3,13,6,4,laurentian,2012
4,Felicia Mazerolle,,G,18,15,529,42.4,28.6,85.2,210,73,172,12,42,52,61,22,55,77,71,85,50,3,laurier,2012
5,Amber Hillis,,G,20,11,389,30.5,38.5,73.5,85,25,82,10,26,25,34,15,20,35,29,28,18,3,laurier,2012
6,Laura Doyle,,G,22,7,441,31.5,33.7,73.7,121,39,124,29,86,14,19,12,28,40,27,39,23,4,laurier,2012
9,Bree Chaput,,G,20,12,475,30.0,20.8,100.0,69,30,100,5,24,4,4,15,55,70,41,12,18,3,laurier,2012
11,Doreen Bonsu,,G,19,15,494,37.9,0.0,64.8,123,44,116,0,5,35,54,69,87,156,21,20,18,0,laurier,2012
12,Kimberley Yeldon,,F,22,20,497,47.4,0.0,62.2,208,81,171,0,1,46,74,60,90,150,11,26,19,7,laurier,2012
13,Alena Luciani,,F,22,-,238,35.9,24.3,41.7,85,33,92,9,37,10,24,17,28,45,13,24,14,0,laurier,2012
14,Samantha Jacobs,,G,21,-,226,40.5,0.0,54.5,36,15,37,0,1,6,11,16,30,46,12,14,14,8,laurier,2012
15,Shelby Kurt,,F,21,1,429,34.0,29.8,73.3,233,71,209,25,84,66,90,11,77,88,17,49,21,4,laurier,2012
23,Christa Mancino,,F,22,19,544,34.3,24.1,57.7,212,84,245,14,58,30,52,44,53,97,12,45,7,17,laurier,2012
04,Isabel Ormond,,G,22,2,306,30.6,35.3,60.0,70,26,85,6,17,12,20,24,41,65,21,44,13,4,mcmaster,2012
05,Vanessa Bonomo,,G,22,21,712,32.2,33.8,67.9,178,59,183,22,65,38,56,14,68,82,105,68,22,0,mcmaster,2012
07,Elizabeth Burns,,G,22,21,591,35.2,5.0,65.5,185,74,210,1,20,36,55,36,51,87,36,69,21,2,mcmaster,2012
08,Jacklynn Nimec,,F,16,11,333,38.0,34.2,78.8,109,35,92,13,38,26,33,22,50,72,22,30,11,6,mcmaster,2012
09,Abby Hurd,,G,16,2,222,25.9,31.6,64.0,58,15,58,12,38,16,25,7,23,30,22,24,9,0,mcmaster,2012
11,Katie Knight,,G,16,-,141,39.0,45.5,75.0,45,16,41,10,22,3,4,6,11,17,12,12,2,0,mcmaster,2012
12,Hailey Milligan,,F,20,16,439,49.4,-,65.7,216,86,174,0,0,44,67,56,108,164,27,27,22,20,mcmaster,2012
13,Caitlin Croley,,F,19,-,139,32.1,0.0,44.4,22,9,28,0,1,4,9,12,20,32,12,10,2,2,mcmaster,2012
15,Taylor Chiarot,,F,22,21,759,41.9,27.0,86.0,364,152,363,17,63,43,50,22,126,148,31,62,34,22,mcmaster,2012
21,Stephanie Truelove,,G,22,7,481,42.9,-,63.9,111,36,84,0,0,39,61,20,21,41,56,62,34,2,mcmaster,2012
4,Elissa Dewit,,G,14,-,74,42.3,38.1,33.3,31,11,26,8,21,1,3,6,4,10,1,6,3,0,ottawa,2012
5,Teddi Firmi,,PG,22,20,518,32.1,0.0,45.2,82,34,106,0,5,14,31,30,52,82,47,48,23,3,ottawa,2012
6,Sarah Nolette,,G,20,-,169,36.5,36.2,75.0,74,27,74,17,47,3,4,13,7,20,9,15,12,0,ottawa,2012
7,Ariane Lachance-Scantland,,F,22,-,238,34.2,44.4,33.3,67,25,73,16,36,1,3,11,14,25,14,14,6,2,ottawa,2012
8,Emilie Cyr,,G,22,1,293,36.7,30.6,88.9,77,29,79,11,36,8,9,13,14,27,34,25,8,0,ottawa,2012
10,Maddie Stephen,,C,16,-,245,38.0,0.0,66.7,74,27,71,0,1,20,30,32,60,92,22,21,19,8,ottawa,2012
11,Kellie Ring,,PG,22,21,645,41.5,40.0,68.4,190,71,171,22,55,26,38,8,54,62,105,70,55,6,ottawa,2012
12,Ashley Hoover,,C,15,-,114,41.2,-,55.6,19,7,17,0,0,5,9,4,7,11,2,12,3,1,ottawa,2012
13,Tatiana Hanlan,,G,19,-,243,35.1,35.2,87.5,87,27,77,19,54,14,16,11,15,26,9,21,7,2,ottawa,2012
15,Bess Lennox,,C,22,21,650,45.1,43.8,76.6,191,74,164,7,16,36,47,80,137,217,30,58,33,26,ottawa,2012
21,Hannah Sunley-Paisley,,C,22,21,603,50.1,0.0,59.3,406,168,335,0,3,70,118,94,115,209,36,62,48,27,ottawa,2012
22,Jenna Gilbert,,F,22,21,589,40.5,39.0,72.7,273,94,232,53,136,32,44,33,71,104,37,42,23,12,ottawa,2012
4,Liz Boag,,G,19,18,510,34.4,39.0,65.7,159,52,151,32,82,23,35,11,37,48,56,51,17,0,queens,2012
5,Paige Robinson,,G,22,2,408,30.9,33.3,65.2,108,34,110,10,30,30,46,13,33,46,30,38,17,0,queens,2012
6,Rachael Urosevic,,G,22,-,330,38.1,51.8,85.7,105,32,84,29,56,12,14,12,30,42,15,21,8,2,queens,2012
7,Lisa Minutillo,,G,19,-,223,32.9,23.9,54.5,71,27,82,11,46,6,11,12,18,30,4,20,4,0,queens,2012
8,Brittany Moore,,G,22,20,676,40.8,38.4,77.0,378,124,304,43,112,87,113,23,52,75,33,61,20,1,queens,2012
10,Meaghan MacDougall,,G,22,20,422,34.8,32.3,72.7,82,32,92,10,31,8,11,12,48,60,29,47,16,2,queens,2012
11,Christine Wallace,,W,22,20,434,33.3,26.0,96.8,141,49,147,13,50,30,31,42,65,107,32,43,13,5,queens,2012
12,Sydney Kernahan,,P,22,11,482,39.8,0.0,32.1,99,41,103,0,1,17,53,47,114,161,11,26,19,7,queens,2012
13,Hanna Kopshynska,,P,17,9,272,34.8,0.0,64.3,71,31,89,0,2,9,14,19,56,75,9,15,10,10,queens,2012
21,Jenny Wright,,W,22,-,473,41.7,28.9,60.0,151,60,144,13,45,18,30,48,58,106,27,33,15,3,queens,2012
23,Jillian Siemienik,,W,19,-,86,28.0,33.3,70.0,22,7,25,1,3,7,10,3,8,11,4,10,3,0,queens,2012
5,Palig Baghdasarian,,G,16,-,76,23.1,40.0,50.0,9,3,13,2,5,1,2,3,11,14,3,9,4,0,ryerson,2012
9,Dayana Gechkova,,G,21,10,601,37.1,40.0,75.0,133,53,143,6,15,21,28,29,57,86,32,49,25,1,ryerson,2012
10,Ashley MacDonald,,G,22,11,812,32.9,40.2,80.8,401,117,356,49,122,118,146,12,55,67,63,112,42,1,ryerson,2012
11,Kelsey Wright,,G,22,11,665,32.6,35.1,71.2,258,86,264,34,97,52,73,29,63,92,33,64,33,4,ryerson,2012
12,Silvana Jez,,G,22,4,365,20.7,28.0,66.7,47,19,92,7,25,2,3,17,40,57,11,24,11,3,ryerson,2012
14,Jordan Hill,,F,20,1,108,50.0,0.0,50.0,15,7,14,0,2,1,2,11,14,25,4,7,5,0,ryerson,2012
15,Skye Johns,,C,22,-,167,27.8,-,28.6,12,5,18,0,0,2,7,12,18,30,3,10,4,4,ryerson,2012
21,Angela Tilk,,F,22,11,635,40.9,0.0,64.5,319,106,259,0,1,107,166,83,124,207,15,49,31,6,ryerson,2012
22,Annie Sokoloff,,F,22,1,288,47.1,-,56.3,41,16,34,0,0,9,16,21,31,52,6,6,8,1,ryerson,2012
23,Alexandrea Tkaczyk,,F,19,6,413,38.0,-,44.4,62,27,71,0,0,8,18,29,46,75,7,19,7,2,ryerson,2012
4,Joanna Medri,Sr,G,20,19,618,34.0,33.7,61.3,193,73,215,28,83,19,31,32,47,79,48,39,62,3,toronto,2012
6,Jill Stratton,So,G,21,19,626,42.4,30.3,62.7,306,122,288,20,66,42,67,27,69,96,61,59,61,6,toronto,2012
7,Julie Longauer,So,F,18,1,197,37.2,0.0,71.7,103,35,94,0,1,33,46,21,13,34,16,18,19,2,toronto,2012
9,Megan Stoncius,Sr,F,21,20,507,36.7,33.3,69.5,152,47,128,1,3,57,82,38,52,90,12,37,19,7,toronto,2012
12,Liane Bailey,So,F,22,2,332,27.2,22.2,70.3,94,31,114,6,27,26,37,17,39,56,22,29,12,5,toronto,2012
13,Rachael Sider,So,F,22,12,323,39.1,42.9,92.3,101,34,87,9,21,24,26,27,32,59,10,44,19,2,toronto,2012
14,Amanda Lauzon,Jr,F,19,2,233,40.9,-,64.7,83,36,88,0,0,11,17,21,36,57,6,18,11,4,toronto,2012
15,Jenalle Vanhie,Fr,F,22,1,251,31.9,0.0,72.7,38,15,47,0,2,8,11,20,26,46,3,17,15,8,toronto,2012
21,Kristy Chute,Jr,F,16,-,253,29.7,18.2,69.0,78,27,91,4,22,20,29,14,25,39,11,24,10,3,toronto,2012
23,Sherri Pierce,Sr,G,21,20,620,36.7,32.4,65.6,253,81,221,11,34,80,122,35,45,80,61,83,44,5,toronto,2012
4,Colleen Quinlan,,G,16,4,337,34.5,24.0,53.8,101,41,119,12,50,7,13,12,25,37,17,35,14,1,waterloo,2012
6,Cheryll Paranaque,,G,14,-,187,27.5,31.3,66.7,51,14,51,5,16,18,27,12,14,26,16,34,10,1,waterloo,2012
7,Mackenzie Lougheed,,G,21,-,251,37.0,-,46.7,61,27,73,0,0,7,15,24,45,69,1,24,11,2,waterloo,2012
8,Madison Behr,,G,22,-,359,31.0,28.1,56.5,119,44,142,18,64,13,23,15,23,38,14,38,15,5,waterloo,2012
9,Vivian Milliken,,G,14,-,70,27.8,40.0,40.0,16,5,18,2,5,4,10,9,6,15,3,5,1,0,waterloo,2012
10,Laura Bossers,,G,22,10,524,29.3,29.8,53.8,128,43,147,14,47,28,52,45,38,83,25,48,13,1,waterloo,2012
