NAME,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
Tiffany James,acadia,2010,,01,0.0,0.0,0.0
Ashley Shaw,acadia,2010,,04,6.0,0.0,11.3
Elizabeth Leighton,acadia,2010,,06,8.0,0.0,3.6
Stefanie Chapman,acadia,2010,,07,20.0,0.0,15.2
Alise Brown,acadia,2010,,08,20.0,18.0,33.3
Keisha Brown,acadia,2010,,09,9.0,6.0,21.4
Abbey Duinker,acadia,2010,,11,19.0,9.0,15.6
Emma Duinker,acadia,2010,,12,20.0,18.0,30.0
Robyn Fleckenstein,acadia,2010,,13,7.0,0.0,3.6
Lindsay Harris,acadia,2010,,14,18.0,16.0,29.2
Jasmine Parent,acadia,2010,,15,20.0,5.0,21.4
Erika Berry,acadia,2010,,21,16.0,1.0,10.6
Sondra Medley,acadia,2010,,22,19.0,15.0,22.8
Belicia Bella-Ashe,acadia,2010,,23,9.0,1.0,8.8
Margaret Lamptey,acadia,2010,,25,6.0,0.0,6.3
Louise Valdez,capebreton,2010,,04,13.0,0.0,5.5
Kari Everett,capebreton,2010,,06,20.0,11.0,29.8
Nicole Works,capebreton,2010,,07,20.0,11.0,28.4
Jahlica Kirnon,capebreton,2010,,08,20.0,0.0,19.9
Karmen Brown,capebreton,2010,,09,20.0,11.0,24.9
Katie McGarrigle,capebreton,2010,,10,16.0,0.0,7.9
Luciann Lahey,capebreton,2010,,11,13.0,0.0,8.1
Jelena Vujovic,capebreton,2010,,12,14.0,0.0,6.5
Justine Macneil,capebreton,2010,,13,14.0,0.0,6.3
Kelsey Hodgson,capebreton,2010,,14,20.0,11.0,33.4
Caitlin Ulrich,capebreton,2010,,15,0.0,0.0,0.0
Brittany Morrison,capebreton,2010,,32,20.0,4.0,14.9
Stephanie Toxopeus,capebreton,2010,,34,20.0,7.0,20.6
Rachael Harrison,dalhousie,2010,,03,17.0,16.0,28.8
Alex Legge,dalhousie,2010,,04,10.0,10.0,31.4
Leah Girdwood,dalhousie,2010,,05,10.0,0.0,14.2
Megan Wiggins,dalhousie,2010,,06,11.0,0.0,6.5
Anne Kiberd,dalhousie,2010,,07,4.0,0.0,4.5
Anna Von maltzahn,dalhousie,2010,,08,18.0,3.0,16.1
April Scott,dalhousie,2010,,09,16.0,14.0,26.3
Brooke Sullivan,dalhousie,2010,,10,20.0,4.0,17.6
Patricia McNeil,dalhousie,2010,,11,19.0,4.0,16.5
Deanna Yarr,dalhousie,2010,,12,5.0,1.0,9.6
Carla Norrad,dalhousie,2010,,13,3.0,1.0,12.7
Jessica Frison,dalhousie,2010,,14,3.0,0.0,12.0
Cailin Crosby,dalhousie,2010,,15,20.0,18.0,27.1
Laurie Girdwood,dalhousie,2010,,22,20.0,17.0,23.6
Marie Mullins,dalhousie,2010,,23,10.0,0.0,12.2
Tiffany Tozer,memorial,2010,,00,0.0,0.0,0.0
Samantha Kavanagh,memorial,2010,,04,11.0,0.0,10.1
Erin Mullaley,memorial,2010,,06,20.0,20.0,29.9
Jennifer Parsons,memorial,2010,,08,20.0,6.0,14.6
Ericka Gratton,memorial,2010,,10,14.0,0.0,10.7
Brittany Dalton,memorial,2010,,11,20.0,18.0,23.1
Victoria Thistle,memorial,2010,,12,13.0,12.0,30.0
Robyn O'Rielly,memorial,2010,,13,15.0,2.0,19.2
Lauren Hawkins,memorial,2010,,14,5.0,0.0,11.2
Alexandria Forsey,memorial,2010,,15,18.0,18.0,24.1
Kim Devison,memorial,2010,,21,17.0,2.0,13.9
Emily Jameson,memorial,2010,,23,17.0,0.0,11.2
Anna Snow,memorial,2010,,24,4.0,0.0,3.5
Grace Fishbein,memorial,2010,,31,20.0,18.0,27.7
Stephanie Stewart,memorial,2010,,32,15.0,0.0,6.2
Angela Fifield,saintmarys,2010,,04,18.0,0.0,12.9
Justine Colley,saintmarys,2010,,05,20.0,10.0,32.0
Shanon Chapman,saintmarys,2010,,06,8.0,0.0,7.4
Amanda Smith,saintmarys,2010,,07,19.0,4.0,21.3
Kelsey Daley,saintmarys,2010,,08,20.0,10.0,33.9
Robbi Daley,saintmarys,2010,,09,18.0,1.0,16.8
Rhonda Kennedy,saintmarys,2010,,10,19.0,3.0,13.4
Stephanie Clarke,saintmarys,2010,,11,19.0,0.0,11.4
Lia Milito,saintmarys,2010,,12,16.0,3.0,18.2
Laure Pitfield,saintmarys,2010,,13,19.0,9.0,24.7
Rebecca Nuttall,saintmarys,2010,,14,20.0,10.0,27.9
Aicha Salah,saintmarys,2010,,15,8.0,0.0,5.4
Maria Konchalski,stfx,2010,,04,19.0,0.0,6.7
Katherine Kanaski,stfx,2010,,05,20.0,18.0,21.9
Camesha McKenzie,stfx,2010,,06,20.0,15.0,22.9
Rebecca Sheehan,stfx,2010,,07,20.0,4.0,19.4
Jocelyn Moore,stfx,2010,,08,20.0,0.0,8.3
Tory Anderson,stfx,2010,,09,20.0,18.0,28.6
Sheryl Chisholm,stfx,2010,,10,20.0,17.0,26.6
Kirsten Jones,stfx,2010,,11,20.0,0.0,17.5
Lisa Gauthier,stfx,2010,,13,7.0,0.0,4.7
Tristan Macdonald,stfx,2010,,14,10.0,0.0,4.4
Ellen Crosby,stfx,2010,,15,0.0,0.0,0.0
Elyse Hnatiuk,stfx,2010,,21,20.0,0.0,16.6
Ashley Stephen,stfx,2010,,23,20.0,18.0,26.9
Megan Corby,unb,2010,,04,17.0,13.0,20.1
Samantha Kaminsky,unb,2010,,05,20.0,0.0,8.7
Alisha Sterling,unb,2010,,06,14.0,2.0,14.3
Emily Corey,unb,2010,,07,16.0,0.0,7.3
Jessica Steed,unb,2010,,08,16.0,12.0,23.6
Emma Russell,unb,2010,,09,20.0,16.0,24.1
Laura Fowler,unb,2010,,10,20.0,6.0,16.6
Jordanne Holstein,unb,2010,,11,18.0,12.0,21.8
Amanda Sharpe,unb,2010,,12,20.0,16.0,29.1
Tashina Van vlack,unb,2010,,13,19.0,3.0,20.6
Melissa Foster,unb,2010,,14,20.0,0.0,18.2
Kristen Johnson,unb,2010,,15,19.0,0.0,12.9
Danielle Scime,unb,2010,,21,3.0,0.0,7.3
Nadine Chomyc,upei,2010,,03,20.0,19.0,24.1
Julia Vidic,upei,2010,,04,12.0,0.0,15.2
Victoria Walker,upei,2010,,05,20.0,20.0,33.8
Maria Younker,upei,2010,,06,18.0,0.0,10.1
Carly Lafave,upei,2010,,07,20.0,0.0,19.2
Kelly Debow,upei,2010,,08,20.0,19.0,21.6
Katie Moore,upei,2010,,09,20.0,20.0,30.5
Kirsten Walker,upei,2010,,10,20.0,1.0,19.5
Shylanda Saunders,upei,2010,,11,7.0,7.0,18.4
Julia McKenna,upei,2010,,13,19.0,14.0,21.1
Sarah Moore,upei,2010,,14,20.0,0.0,11.4
Juliana Lopez,bishops,2010,,04,0.0,0.0,0.0
Katy Germain,bishops,2010,,05,16.0,12.0,30.4
Marie-Eve Lemoine,bishops,2010,,06,16.0,14.0,25.7
M Ouellet-Godcharles,bishops,2010,,07,16.0,15.0,33.1
Janelle Haddad,bishops,2010,,09,7.0,0.0,3.9
Jessy Roy,bishops,2010,,10,10.0,9.0,29.2
Bethan Chalke,bishops,2010,,11,16.0,0.0,14.4
Robyn Wilson,bishops,2010,,13,16.0,15.0,20.4
Annick S charles,bishops,2010,,14,16.0,9.0,24.2
Tamara Grice,bishops,2010,,15,3.0,0.0,2.0
F Craig-Thompson,bishops,2010,,21,14.0,0.0,5.7
G Cote-Caouette,bishops,2010,,23,16.0,1.0,17.5
Elizabeth Coolen,bishops,2010,,24,15.0,0.0,11.5
Melissa Szilagyi,concordia,2010,,04,2.0,0.0,0.5
Magali Beaulieu,concordia,2010,,05,16.0,0.0,17.6
Kristin Portwine,concordia,2010,,06,16.0,8.0,28.9
Kourtney Diperno,concordia,2010,,07,3.0,0.0,2.7
Anne-Marie Prophete,concordia,2010,,08,16.0,3.0,25.7
Jill Verhesen,concordia,2010,,09,16.0,8.0,39.8
Yasmin Jean-Philippe,concordia,2010,,10,16.0,8.0,30.8
Valerie Delisle,concordia,2010,,11,1.0,0.0,0.0
A. Gregoire-Boudreau,concordia,2010,,12,16.0,1.0,18.0
Kendra Carrie,concordia,2010,,13,13.0,4.0,20.8
Shanice Yarde,concordia,2010,,15,2.0,0.0,0.0
Nekeita Lee,concordia,2010,,20,16.0,8.0,26.0
M. Ferland,laval,2010,,04,16.0,0.0,14.5
E. Jobin,laval,2010,,06,16.0,14.0,30.4
E. M-Poulin,laval,2010,,07,12.0,2.0,14.6
M-L F-Laberge,laval,2010,,08,0.0,0.0,0.0
M-M Genois,laval,2010,,09,16.0,14.0,31.3
S. Ducruc,laval,2010,,10,16.0,0.0,16.4
M. J-Tardif,laval,2010,,11,15.0,0.0,8.1
M. L-Dion,laval,2010,,12,15.0,1.0,8.0
C. St-Amour,laval,2010,,13,16.0,13.0,29.1
J. Chapados,laval,2010,,14,14.0,0.0,11.8
M-P Nadeau,laval,2010,,15,16.0,14.0,23.8
K. Bariault,laval,2010,,21,4.0,0.0,2.8
M. Lamarre,laval,2010,,22,13.0,12.0,29.1
Nathifa Weekes,mcgill,2010,,04,16.0,9.0,21.9
Stephanie Bergeron,mcgill,2010,,05,16.0,11.0,30.2
A. Him-Lazarenko,mcgill,2010,,06,13.0,9.0,27.6
Frances Grout-Brown,mcgill,2010,,07,8.0,0.0,5.3
Francoise Charest,mcgill,2010,,08,16.0,4.0,24.6
Marie-Pier Brabant,mcgill,2010,,09,10.0,1.0,7.3
Rikki Bowles,mcgill,2010,,10,12.0,0.0,8.9
Caroline Hebert,mcgill,2010,,12,16.0,5.0,12.8
Brianne Coglon,mcgill,2010,,13,6.0,0.0,1.2
Marie-Eve Martin,mcgill,2010,,14,16.0,12.0,32.3
Kyla Bothwell,mcgill,2010,,15,3.0,0.0,4.7
Elise Lepine,mcgill,2010,,20,10.0,4.0,19.4
Helene Bibeau,mcgill,2010,,21,16.0,3.0,19.1
Samantha Gormley,mcgill,2010,,22,1.0,1.0,5.0
Emilie-Ann Downey,mcgill,2010,,24,7.0,1.0,8.3
Michelle A-Bellemare,uqam,2010,,05,16.0,0.0,23.4
Therese Massock,uqam,2010,,08,2.0,0.0,3.0
Selwa Maatoug,uqam,2010,,09,16.0,0.0,10.8
Nadine Augustin,uqam,2010,,10,8.0,0.0,4.4
Karine Boudrias,uqam,2010,,11,16.0,10.0,23.4
Camille Michaud,uqam,2010,,12,13.0,0.0,3.1
Catherine Bougie,uqam,2010,,13,14.0,0.0,5.5
Marjolaine G-Theoret,uqam,2010,,15,16.0,13.0,23.8
Emie Simard,uqam,2010,,21,16.0,3.0,17.7
Jessica Bibeau-Cote,uqam,2010,,22,16.0,13.0,26.8
Stephanie Youakim,uqam,2010,,23,16.0,13.0,30.7
Irline Noel,uqam,2010,,24,15.0,13.0,29.1
Brittany Vandyken,brock,2010,,03,13.0,0.0,4.9
Jill Szewczyk,brock,2010,,04,1.0,0.0,0.0
Nambogga Sewali,brock,2010,,05,2.0,0.0,2.5
Hayley Neal,brock,2010,,06,21.0,0.0,10.4
Hillary Woodside,brock,2010,,07,20.0,15.0,22.2
Kayla Skjerdal,brock,2010,,08,19.0,0.0,7.7
Tara Giallonardo,brock,2010,,09,22.0,0.0,19.4
Britt Pegg,brock,2010,,10,22.0,2.0,20.8
Lauren Stewart,brock,2010,,11,21.0,20.0,24.4
Devyn Cuncic,brock,2010,,12,22.0,21.0,29.0
Emily McKay,brock,2010,,13,21.0,13.0,24.4
Vanessa Steen,brock,2010,,15,2.0,0.0,1.5
Whitney Gorges,brock,2010,,22,22.0,21.0,30.5
Jess Del signore,brock,2010,,23,16.0,13.0,23.1
Karimah Issa,carleton,2010,,04,9.0,0.0,4.8
Alyson Bush,carleton,2010,,05,22.0,21.0,28.8
Jody Duncan,carleton,2010,,06,17.0,0.0,8.5
Courtney Smith,carleton,2010,,07,22.0,21.0,27.0
Bailey Lomas,carleton,2010,,08,4.0,4.0,15.8
Jessica Resch,carleton,2010,,09,22.0,16.0,22.7
Kendall Macleod,carleton,2010,,10,22.0,1.0,20.6
Ashleigh Cleary,carleton,2010,,11,22.0,21.0,24.8
Elizabeth Roach,carleton,2010,,12,19.0,0.0,11.7
Jennifer Stoqua,carleton,2010,,13,22.0,0.0,19.4
Sara Hickman,carleton,2010,,20,22.0,0.0,11.2
Ines Jelic,carleton,2010,,21,22.0,21.0,23.6
Alissa Schlote,carleton,2010,,22,1.0,0.0,3.0
Jamie Green,guelph,2010,,04,20.0,0.0,14.2
Marlee Freeman,guelph,2010,,05,22.0,12.0,24.8
Alex Yallin,guelph,2010,,06,22.0,15.0,31.2
Ali Dzikowski,guelph,2010,,7,1.0,0.0,0.0
Kara Muhlhausen,guelph,2010,,8,20.0,2.0,17.4
Diana Haefele,guelph,2010,,09,19.0,1.0,7.6
Samantha Russell,guelph,2010,,11,22.0,18.0,30.5
Laura Rajnak,guelph,2010,,12,13.0,7.0,21.8
Alex Russell,guelph,2010,,13,22.0,19.0,30.8
Jasmine Douglas,guelph,2010,,21,21.0,18.0,29.0
Samantha De jong,guelph,2010,,23,8.0,3.0,15.9
Corina Bruni,lakehead,2010,,04,22.0,0.0,20.4
Emily Ross,lakehead,2010,,05,22.0,8.0,19.7
Tasia McKenna,lakehead,2010,,06,22.0,20.0,33.1
Lisa Styles,lakehead,2010,,08,22.0,10.0,20.5
Danarae Sommerville,lakehead,2010,,09,5.0,0.0,5.2
Georgia Harvey,lakehead,2010,,10,17.0,15.0,22.9
Ayse Kalkan,lakehead,2010,,11,16.0,0.0,5.6
Sarah Gordon,lakehead,2010,,13,20.0,7.0,18.7
Chelsea Nekuliak,lakehead,2010,,15,19.0,1.0,9.4
Chiaki Nakamura,lakehead,2010,,21,22.0,7.0,17.0
Shannon Vellinga,lakehead,2010,,22,22.0,13.0,18.7
Lindsay Druery,lakehead,2010,,23,21.0,19.0,25.0
Katie Goggins,laurentian,2010,,04,22.0,20.0,33.8
Lyndi Meloche,laurentian,2010,,05,22.0,0.0,12.9
Carley Blaseg,laurentian,2010,,06,19.0,2.0,11.8
Julia Kay,laurentian,2010,,07,8.0,0.0,5.6
Mylaine Mageau,laurentian,2010,,08,21.0,17.0,23.3
Kyla Csumrik,laurentian,2010,,09,19.0,0.0,7.8
Norma Jean roberts,laurentian,2010,,10,22.0,5.0,20.5
Lindsay Hocevar,laurentian,2010,,11,2.0,0.0,2.5
Kauri Lafontaine,laurentian,2010,,12,22.0,20.0,28.8
Jenna Kennedy,laurentian,2010,,13,17.0,0.0,11.1
Lisa Furchner,laurentian,2010,,14,21.0,19.0,26.0
Darrah Bumstead,laurentian,2010,,15,18.0,17.0,29.1
Kara Hilton,laurentian,2010,,21,16.0,0.0,7.7
Nicole Roeder,laurier,2010,,04,22.0,0.0,17.0
Amber Hillis,laurier,2010,,05,22.0,18.0,23.8
Kandice Baptiste,laurier,2010,,06,19.0,1.0,9.9
Mallory Kohlmeier,laurier,2010,,07,22.0,19.0,22.5
Renata Adamczyk,laurier,2010,,08,22.0,20.0,26.0
Christine Macdonald,laurier,2010,,09,22.0,2.0,17.4
A Southhall-Millward,laurier,2010,,10,21.0,0.0,10.0
Aleksa Brkic,laurier,2010,,11,13.0,3.0,15.9
Alena Luciani,laurier,2010,,13,22.0,0.0,15.2
Aimee Van dam,laurier,2010,,14,11.0,0.0,3.9
Megan Grant,laurier,2010,,15,22.0,20.0,28.8
Christa Mancino,laurier,2010,,23,18.0,17.0,24.3
Rebecca Rewi,mcmaster,2010,,4,20.0,18.0,25.7
Vanessa Bonomo,mcmaster,2010,,5,20.0,0.0,14.4
Emily Leger,mcmaster,2010,,6,21.0,1.0,11.8
Elizabeth Burns,mcmaster,2010,,7,21.0,1.0,10.7
Jaklynn Nimec,mcmaster,2010,,8,21.0,14.0,22.7
Hannah Lamb,mcmaster,2010,,9,10.0,0.0,4.3
Alyska Lukan,mcmaster,2010,,10,1.0,0.0,0.0
Taylor Smith,mcmaster,2010,,11,22.0,20.0,35.0
Hailey Milligan,mcmaster,2010,,12,17.0,6.0,17.2
Lisa marie Iavarone,mcmaster,2010,,13,20.0,8.0,20.1
Nicole Rosenkranz,mcmaster,2010,,14,22.0,13.0,20.5
Taylor Chiarot,mcmaster,2010,,15,21.0,19.0,31.1
Melina Wishart,ottawa,2010,,03,22.0,15.0,23.2
Kayte Chase,ottawa,2010,,04,18.0,5.0,15.7
Awo Farah,ottawa,2010,,05,22.0,12.0,17.0
Emilie Morasse,ottawa,2010,,06,22.0,18.0,29.7
Kelly Weir,ottawa,2010,,07,18.0,6.0,15.4
Courtney Berquist,ottawa,2010,,08,17.0,8.0,12.2
Alex Naylor,ottawa,2010,,09,22.0,1.0,9.8
Kizzy Clarke,ottawa,2010,,11,20.0,3.0,12.7
Rose-Anne Joly,ottawa,2010,,12,3.0,0.0,7.0
Jade Fair,ottawa,2010,,13,16.0,2.0,10.1
Catherine Cloutier,ottawa,2010,,14,18.0,7.0,15.2
Marie-Eve Caouette,ottawa,2010,,15,19.0,6.0,14.4
Hannah Sunley-Paisley,ottawa,2010,,21,22.0,22.0,29.6
Charlotte Mackenzie,ottawa,2010,,22,22.0,5.0,12.2
Paige Robinson,queens,2010,F,05,22.0,0.0,15.5
Emma Glasgow,queens,2010,F,06,8.0,0.0,4.6
Brittany Moore,queens,2010,J,08,22.0,19.0,31.9
Maddie Soye,queens,2010,S,09,21.0,18.0,29.9
Richelle Gaudet,queens,2010,S,10,22.0,0.0,14.1
Christine Wallace,queens,2010,J,11,22.0,1.0,19.3
Sydney Kernahan,queens,2010,F,12,14.0,0.0,3.6
Erin Skippon,queens,2010,S,13,21.0,18.0,28.4
Hanna Koposhynska,queens,2010,F,14,20.0,2.0,11.4
Jill Wheat,queens,2010,S,15,21.0,18.0,20.9
Monika Szpytko,queens,2010,F,21,5.0,0.0,3.6
Katie Guthrie,queens,2010,S,22,21.0,19.0,29.0
Lacey O'Sullivan,ryerson,2010,,04,22.0,16.0,31.9
Lisa Goldring,ryerson,2010,,05,20.0,11.0,30.1
Claire Askew,ryerson,2010,,06,0.0,0.0,0.0
Aislind Syrotuik,ryerson,2010,,07,13.0,1.0,15.4
Caitlin Fraser,ryerson,2010,,08,7.0,0.0,4.1
Dayana Gechkova,ryerson,2010,,09,19.0,0.0,7.7
Ashley Macdonald,ryerson,2010,,10,22.0,16.0,32.7
Kelsey Wright,ryerson,2010,,11,22.0,4.0,20.9
Stacy Pigden,ryerson,2010,,13,11.0,0.0,5.5
Jenny Hobbs,ryerson,2010,,14,22.0,16.0,27.3
Nicola Cohen,ryerson,2010,,15,13.0,0.0,7.2
Angela Tilk,ryerson,2010,,21,22.0,16.0,26.1
Alexandra Tkaczyk,ryerson,2010,,23,22.0,0.0,12.4
Joanna Medri,toronto,2010,,4,19.0,18.0,26.3
Amanda Lum,toronto,2010,,5,16.0,0.0,10.1
Emily Larson,toronto,2010,,6,21.0,10.0,19.6
Erin McNeely,toronto,2010,,8,21.0,20.0,32.9
Megan Stoncius,toronto,2010,,9,21.0,19.0,22.7
Hayley Max-Lino,toronto,2010,,10,13.0,0.0,7.2
Tania Meunier,toronto,2010,,11,20.0,0.0,9.8
Robyn Fashler,toronto,2010,,12,21.0,2.0,11.3
Emma Currie,toronto,2010,,13,17.0,0.0,7.9
Grace Mahary,toronto,2010,,14,5.0,0.0,6.2
Alicia Van kampen,toronto,2010,,15,22.0,0.0,12.4
Katelyn McConnell,toronto,2010,,21,21.0,12.0,21.3
Nicki Schutz,toronto,2010,,22,22.0,21.0,30.4
Sherri Pierce,toronto,2010,,23,0.0,0.0,0.0
C. Quinlan,waterloo,2010,,04,14.0,7.0,24.3
R. Holden,waterloo,2010,,05,22.0,9.0,27.4
K. Beaucock,waterloo,2010,,06,17.0,0.0,5.5
S. Shea,waterloo,2010,,07,22.0,8.0,29.0
G. Hummel,waterloo,2010,,08,17.0,1.0,7.1
E. Tilley,waterloo,2010,,09,22.0,0.0,21.6
L. Bossers,waterloo,2010,,10,22.0,0.0,11.2
K. Singbeil,waterloo,2010,,11,1.0,0.0,0.0
S. Brathwaite,waterloo,2010,,12,3.0,0.0,1.3
C. Brown,waterloo,2010,,13,18.0,5.0,24.4
L. Becotte,waterloo,2010,,14,22.0,9.0,26.1
S. Hickey,waterloo,2010,,15,9.0,0.0,15.6
A. Puim,waterloo,2010,,21,0.0,0.0,0.0
T. Lee,waterloo,2010,,22,18.0,2.0,12.3
E. Button,waterloo,2010,,23,22.0,5.0,22.8
Katelyn Leddy,western,2010,,06,21.0,12.0,22.1
Melissa Rondinelli,western,2010,,07,15.0,0.0,15.8
Sarah Mallen,western,2010,,08,21.0,9.0,20.4
Kelly Moulden,western,2010,,09,16.0,13.0,26.4
Rebecca Moss,western,2010,,11,21.0,11.0,24.1
Lauren Parkes,western,2010,,12,21.0,16.0,24.0
Jacklyn Selfe,western,2010,,13,10.0,8.0,22.2
Amanda Anderson,western,2010,,14,21.0,19.0,33.7
Beckie Williams,western,2010,,15,20.0,6.0,24.3
Stephanie Lundstrom,western,2010,,21,20.0,1.0,10.7
Maggie Morrison,western,2010,,22,4.0,0.0,4.0
Linh Nguyen,western,2010,,23,3.0,0.0,1.3
Emily Abbott,windsor,2010,,04,21.0,14.0,20.5
Shavaun Reaney,windsor,2010,,05,21.0,19.0,32.3
Tanya Leclerc,windsor,2010,,06,17.0,1.0,9.3
Georgia Billing,windsor,2010,,07,16.0,0.0,9.4
Iva Peklova,windsor,2010,,08,17.0,9.0,17.4
Raelyn Prince,windsor,2010,,09,17.0,11.0,19.2
Miah-Marie Langlios,windsor,2010,,10,21.0,2.0,24.1
Jessica Clemencon,windsor,2010,,11,20.0,18.0,29.5
Jessica Gordon,windsor,2010,,15,15.0,0.0,7.4
Kristy Chute,windsor,2010,,21,17.0,0.0,10.2
Laura Mullins,windsor,2010,,22,15.0,5.0,17.7
Bojana Kovacevic,windsor,2010,,23,21.0,17.0,26.3
Nadia Qahwash,york,2010,,4,20.0,19.0,30.1
Brittany Szockyj,york,2010,,5,20.0,19.0,33.1
Kate Mowat,york,2010,,6,20.0,19.0,32.3
Kara Smith,york,2010,,8,19.0,0.0,11.7
Michelle McLaren,york,2010,,9,11.0,0.0,3.0
Beth Hagarty,york,2010,,11,2.0,0.0,0.0
Emma Dillon,york,2010,,12,22.0,19.0,23.8
Kayla Pangos,york,2010,,13,22.0,5.0,25.4
April Hill,york,2010,,21,19.0,0.0,11.8
Emily Perras,york,2010,,22,21.0,16.0,20.4
Jenna Elliott,york,2010,,23,22.0,2.0,15.4
Emily Bolduc,alberta,2010,S,4,20.0,19.0,25.6
Nicole Clarke,alberta,2010,S,5,11.0,10.0,27.4
Sarah Binns,alberta,2010,F,6,14.0,0.0,5.0
Josephine Peacock,alberta,2010,S,7,20.0,0.0,10.4
Megan Wickstrom,alberta,2010,F,8,14.0,0.0,12.4
Alexandra Keeley,alberta,2010,F,9,5.0,0.0,4.4
Kendra Asleson,alberta,2010,F,10,20.0,0.0,11.4
Stacey Sperling,alberta,2010,S,11,6.0,0.0,3.7
Alysia Rissling,alberta,2010,S,12,20.0,0.0,14.9
Caitlin Stiksma,alberta,2010,J,13,20.0,19.0,22.4
Kaitlyn Arbuthnot,alberta,2010,S,14,20.0,9.0,21.0
Georgia Popovici,alberta,2010,J,15,20.0,0.0,16.3
Anneka Bakker,alberta,2010,S,20,20.0,19.0,24.4
Marisa Haylett,alberta,2010,S,22,20.0,19.0,24.2
Sarah Lopes,brandon,2010,J,05,20.0,18.0,21.0
Rebecca Funk,brandon,2010,F,06,13.0,0.0,8.8
Britney White,brandon,2010,S,07,12.0,0.0,11.1
Melanie Thompson,brandon,2010,J,08,18.0,9.0,25.0
Rosemary Mills,brandon,2010,S,09,10.0,8.0,26.8
Stephanie Lacey-Avon,brandon,2010,S,10,17.0,2.0,17.9
Amanda Fortin,brandon,2010,S,11,19.0,19.0,25.6
Chelsey Hiebert,brandon,2010,S,12,1.0,0.0,2.0
Chantel Gaslard,brandon,2010,F,14,17.0,7.0,19.4
Jayla Bousquet,brandon,2010,J,15,20.0,20.0,30.5
Hailey Toner,brandon,2010,S,22,16.0,2.0,15.8
Nicisha Johnson,brandon,2010,S,32,18.0,15.0,20.2
Kelsey Solarchuk,brandon,2010,S,33,18.0,0.0,17.5
Megan Schaufele,calgary,2010,,04,20.0,19.0,24.6
Megan Maclean,calgary,2010,,05,10.0,0.0,13.0
Tilly Ettinger,calgary,2010,,06,20.0,1.0,16.9
Tamara Jarrett,calgary,2010,,07,20.0,1.0,19.3
Robyn Gibson,calgary,2010,,08,20.0,17.0,27.6
Alex Cole,calgary,2010,,09,19.0,19.0,22.3
Megan Lang,calgary,2010,,10,20.0,20.0,28.3
Esther Graff,calgary,2010,,11,0.0,0.0,0.0
Ashley Hill,calgary,2010,,12,20.0,20.0,30.4
Ashley Ashman,calgary,2010,,14,0.0,0.0,0.0
Kaitie Beard,calgary,2010,,15,20.0,3.0,15.8
Elise Horton,calgary,2010,,22,17.0,0.0,10.8
Courtney Heinricks,lethbridge,2010,,04,20.0,0.0,10.9
Becky Heninger,lethbridge,2010,,05,20.0,5.0,25.3
Stephanie Price,lethbridge,2010,,06,20.0,19.0,32.1
Lauren Taal,lethbridge,2010,,07,20.0,19.0,34.4
Sam Hornquist,lethbridge,2010,,08,20.0,19.0,22.6
Kara Henry,lethbridge,2010,,09,19.0,0.0,8.7
Stephanie Inman,lethbridge,2010,,10,10.0,0.0,5.5
Hannah Blanchette,lethbridge,2010,,12,15.0,8.0,19.7
Devon Kendall,lethbridge,2010,,13,17.0,1.0,10.2
Janelle Traber,lethbridge,2010,,14,0.0,0.0,0.0
Kenzie Sheen,lethbridge,2010,,15,20.0,19.0,27.4
Morgan Cross,lethbridge,2010,,22,20.0,5.0,14.9
Lauren Mortier,manitoba,2010,J,04,20.0,16.0,22.6
Kayla Klassen,manitoba,2010,S,07,20.0,20.0,30.7
Kait Flett,manitoba,2010,S,08,20.0,20.0,32.9
W. Lodge-Zaparnick,manitoba,2010,S,09,20.0,0.0,13.2
Nicole Vestby,manitoba,2010,F,10,11.0,0.0,7.1
Maria Pawlyshyn,manitoba,2010,J,11,20.0,3.0,21.5
Colleen Dorrian,manitoba,2010,S,12,15.0,1.0,7.9
Mubo Ilelaboye,manitoba,2010,J,13,20.0,20.0,26.9
Michele Hynes,manitoba,2010,S,14,20.0,20.0,33.1
Vanessa De vries,manitoba,2010,F,15,19.0,0.0,9.7
Deanna Hiebert,manitoba,2010,F,23,1.0,0.0,1.0
Stacey Walker,regina,2010,S,04,20.0,18.0,25.6
Kelsey Lothian,regina,2010,F,05,12.0,0.0,7.3
Rayna Belyk,regina,2010,F,06,2.0,0.0,1.5
Vanessa Wesolowski,regina,2010,S,07,18.0,0.0,9.8
Ashley Wishira,regina,2010,J,08,12.0,0.0,7.3
Gabrielle Gheyssen,regina,2010,S,10,19.0,12.0,21.6
Danielle Schmidt,regina,2010,S,11,20.0,0.0,9.6
Megan Chamberlin,regina,2010,F,12,18.0,0.0,7.7
Rebecca Schmidt,regina,2010,S,13,19.0,4.0,19.4
Lindsay Ledingham,regina,2010,S,14,20.0,10.0,25.1
Brittany Read,regina,2010,J,20,20.0,19.0,25.1
Joanna Zalesiak,regina,2010,S,21,20.0,17.0,29.1
Carmen Stewart,regina,2010,S,22,20.0,15.0,21.8
Lindsay DeGroot,saskatchewan,2010,S,03,20.0,20.0,31.1
Mary Hipperson,saskatchewan,2010,J,04,20.0,0.0,14.1
Jill Humbert,saskatchewan,2010,S,05,20.0,20.0,30.1
Kim Tulloch,saskatchewan,2010,S,06,20.0,20.0,30.6
Amy Lackie,saskatchewan,2010,J,07,20.0,0.0,10.8
